strategy,T0_C,dt_s,grid_scale,parameters,status,end_time_s,charge_C_cm2,max_current_A_cm2,min_voltage_V,max_ice_bulk,max_pore_ice_saturation,min_end_temperature_C,max_temperature_spread_K,energy_balance_J_m2,water_balance_kg_m2,min_gas_porosity,max_current_limiting_ratio,min_kappa_S_m,max_thermal_iteration_error_K,heat_gen_J_m2,heat_phase_J_m2,heat_loss_J_m2,heat_sensible_J_m2,end_voltage_V,center_temperature_C,failure_cell,max_pore_ice_bulk,max_mem_ice_bulk
ramp,-12.8076171875,0.003125,8,"[2.5, 0.5]",charge_exhausted,40.09999999999776,19.99999999999888,0.5,0.48572827497941906,0.09800921095118338,0.0663811838482014,-0.002681384856293999,9.870684166589397,2.7786882128566504e-08,5.2154461305242705e-15,0.3121553645138286,0.021050036330222267,0.40840691190790845,9.916529819520292e-10,925387.0490347754,1499.8212996122163,25130.515710180516,901756.3546242348,0.5718802730728325,9.868002781733104,0.0,0.02792656404493833,0.09800921095118338
step,-15.0,0.003125,8,"[0.5, 0.5, 0.5, 8.0, 16.0]",charge_exhausted,39.99999999999636,19.99999999999818,0.5,0.476689098025964,0.15295581300045322,0.09859232818203605,-2.1050005384829507,9.848284337467204,-2.3333996068686247e-08,-1.1752534709308371e-14,0.3083690531403958,0.021205822871593262,0.37857307007346275,2.682298827494378e-13,935219.3000867389,3459.6462123550737,25366.615782288623,913312.330516782,0.5576844753871605,7.743283798984254,0.0,0.041477792466182564,0.15295581300045322
step,-10.0,0.003125,8,"[0.5, 0.5, 0.5, 8.0, 16.0]",success,27.105922802540203,13.552961401270101,0.5,0.49670680135513534,0.041394952620155495,0.031516396311020795,1.0004901401287492e-07,7.71453365035979,4.40741132479161e-09,1.9930812642648954e-13,0.3472365509347595,0.019446765185940774,0.4473151436193402,2.291500322826323e-13,628779.5604922794,419.2508121004715,13149.950131339812,616048.8611730444,0.5734463770484223,7.714533750408805,0.0,0.013258947928046449,0.041394952620155495
step,-12.5,0.003125,8,"[0.5, 0.5, 0.5, 8.0, 16.0]",success,38.519603315738536,19.259801657869268,0.5,0.48695648571227373,0.09010002832427833,0.06161662357197809,1.0007991302380842e-07,9.707027667513536,4.030880518257618e-09,-1.0938515718206254e-13,0.31628714417154036,0.020849816802857548,0.41259201455053746,4.2814640721644537e-10,891316.791791676,1341.912256945784,23610.380078897928,869048.3239697278,0.5724248632757811,9.707027767593448,0.0,0.025922113536731187,0.09010002832427833
step,-13.75,0.003125,8,"[0.5, 0.5, 0.5, 8.0, 16.0]",charge_exhausted,39.99999999999636,19.99999999999818,0.5,0.4818935286207086,0.1222109145874923,0.08074223862830882,-0.9116891630375351,9.864829620841398,9.022187441587448e-09,4.152169059967736e-15,0.3105755359522243,0.02111642680151526,0.39549298174456105,2.575717417130363e-13,929622.0520240635,2339.4010556504654,25229.97904678897,906731.474032934,0.565740847928469,8.953140457803864,0.0,0.033968259790929524,0.1222109145874923
step,-13.125,0.003125,8,"[0.5, 0.5, 0.5, 8.0, 16.0]",charge_exhausted,39.99999999999636,19.99999999999818,0.5,0.48444187180681847,0.10624438356410676,0.07129282713689482,-0.309051904753826,9.869973718798457,2.890374162234366e-08,5.86618427445007e-15,0.3116347529436247,0.0210722379143504,0.4040204139472579,2.5224267119483557e-13,926887.7938581897,1782.7586003712365,25167.209218887572,903503.3432397023,0.5698117843379655,9.560921814044631,0.0,0.029992892376491654,0.10624438356410676
step,-12.8125,0.003125,8,"[0.5, 0.5, 0.5, 8.0, 16.0]",charge_exhausted,39.99999999999636,19.99999999999818,0.5,0.48570328996626877,0.09809545799078394,0.06642264413955849,-0.00611760569175391,9.871669294320654,1.2587406672537327e-08,1.3232904355620079e-14,0.31215370176870455,0.021050271379820636,0.4083006752388957,2.504663143554353e-13,925536.4196055643,1503.96046855357,25137.32485524972,901903.0552188808,0.5718599715087952,9.8655516886289,0.0,0.02794400638951226,0.09809545799078394
step,-12.65625,0.003125,8,"[0.5, 0.5, 0.5, 8.0, 16.0]",success,39.27311059608758,19.63655529804379,0.5,0.48633091879415535,0.09404213723116987,0.0639891887614354,1.0004947377890408e-07,9.793247728509582,-1.1597876437008381e-08,-4.981247619245677e-14,0.3141932062592487,0.0209510368241496,0.41044499109619964,8.751435132126062e-10,908714.9372334249,1420.4452730413775,24382.536759897062,885752.8457465576,0.5721682710259189,9.793247828559057,0.0,0.026920251711935874,0.09404213723116987
step,-12.734375,0.003125,8,"[0.5, 0.5, 0.5, 8.0, 16.0]",success,39.65137102454569,19.825685512272845,0.5,0.4860173568994611,0.09605490683353989,0.0651983140605763,1.0005708532500039e-07,9.834643369066034,-2.127853804267943e-08,-1.7375315596035446e-14,0.31313983022505765,0.021002285283200802,0.4093725524817461,2.4868995751603507e-13,917453.0659649825,1460.7151413660283,24773.867477175016,894139.9136291522,0.5720317213251866,9.83464346912312,0.0,0.02742893072528445,0.09605490683353989
step,-12.7734375,0.003125,8,"[0.5, 0.5, 0.5, 8.0, 16.0]",success,39.84087054580101,19.920435272900505,0.5,0.4858603976936588,0.09707175295431911,0.06580860542581563,1.0014842754372447e-07,9.85491417676877,1.909211277961731e-08,-1.0043073143950476e-14,0.3126086735890972,0.02102809124215346,0.408836464163151,3.391065206415078e-11,921831.7632530384,1481.1027893326964,24970.84501411645,898342.0210282737,0.5719613859478582,9.854914276917198,0.0,0.02768568030264064,0.09707175295431911
step,-12.79296875,0.003125,8,"[0.5, 0.5, 0.5, 8.0, 16.0]",success,39.93571169227004,19.96785584613502,0.5,0.4857818562563017,0.09758279472995668,0.06611518512736238,1.000124381196879e-07,9.864943064093113,4.6093191485852e-09,5.995854854279337e-15,0.31234676386160826,0.02104099911233416,0.40856853053308984,2.4868995751603507e-13,924023.5034166394,1491.360030937752,25069.661657188084,900445.2017903937,0.5719257108742561,9.86494316410555,0.0,0.027814658383081354,0.09758279472995668
step,-12.802734375,0.003125,8,"[0.5, 0.5, 0.5, 8.0, 16.0]",success,39.983154998716074,19.991577499358037,0.5,0.4857425762189505,0.09783897095852985,0.06626883385723192,1.000134083186972e-07,9.869930902625022,-1.8953869584947824e-09,5.5723654857064986e-15,0.31221576989039806,0.021047492162772848,0.4084345930911251,2.504663143554353e-13,925119.9693592407,1496.5045045674253,25119.151943505192,901497.3219203011,0.571907746103988,9.869931002638431,0.0,0.027879298403737474,0.09783897095852985
step,-12.8076171875,0.003125,8,"[0.5, 0.5, 0.5, 8.0, 16.0]",charge_exhausted,39.99999999999636,19.99999999999818,0.5,0.48572293386966264,0.09796721477284027,0.06634574293018089,-0.0013753945385990862,9.871690953363014,-1.4457327779382467e-08,2.9554267019782365e-15,0.3121617546450567,0.02104992883385379,0.40836763171593377,2.4868995751603507e-13,925515.3867559718,1499.5984563045681,25136.86610902371,901878.1191032382,0.5718920466841657,9.870315558824416,0.0,0.0279116540507271,0.09796721477284027
