case,parameter,factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,feasible
case1,ice_warn,1.2,94.6396886587,96.6396886587,96.6396886587,2828.46932138,2245.47459189,17.1738408623,296.206825314,4794.91092883,3.96482846554e-10,4.47396026476e-18,0.551350156543,0.341931752391,6.60958157854,0.0426327945813,6.54424780091,-13.4187711453,0.278059981053,0.0125141198163,0.4329979348,0,5.75337111286e-10,0.92259148371,19.3919065976,0.0426327945813,0.577390412164,0.341745466068,0,2752.90010564,1.38533932589e-17,True
case1,delta_V,0.8,94.6396886587,96.6396886587,96.6396886587,2828.46932138,2245.47459189,17.1738408623,296.206825314,4794.91092883,3.96482846554e-10,4.47396026476e-18,0.551350156543,0.341931752391,6.60958157854,0.0426327945813,6.54424780091,-13.4187711453,0.278059981053,0.0125141198163,0.4329979348,0,5.75337111286e-10,0.92259148371,19.3919065976,0.0426327945813,0.577390412164,0.341745466068,0,2752.90010564,1.38533932589e-17,True
case1,delta_V,1.2,94.6396886587,96.6396886587,96.6396886587,2828.46932138,2245.47459189,17.1738408623,296.206825314,4794.91092883,3.96482846554e-10,4.47396026476e-18,0.551350156543,0.341931752391,6.60958157854,0.0426327945813,6.54424780091,-13.4187711453,0.278059981053,0.0125141198163,0.4329979348,0,5.75337111286e-10,0.92259148371,19.3919065976,0.0426327945813,0.577390412164,0.341745466068,0,2752.90010564,1.38533932589e-17,True
case2,G,0.8,87.0123029768,89.0123029768,89.0123029768,0,1889.18844326,-0.636533751132,433.874484899,1454.67742461,7.13384906703e-11,6.06345485973e-17,0.595526267336,0.143087869711,10.82675213,0.20862754439,11.0353796744,-5.11974902812,0.324411251808,0.0119453530083,0.636517708273,0,9.86169368389e-10,0,17.1036908931,0.20862754439,0.608299004318,0.142979767969,0,0,6.07478477244e-17,True
case2,G,1.2,83.1427335382,85.1427335382,85.1427335382,0,1769.55001381,0.0993368604966,414.987141572,1354.6622091,-5.1045390137e-11,1.9931972739e-17,0.597170651985,0.12995326057,7.45444680482,0.209258681013,7.66255637169,-5.29595210973,0.330410494185,0.0117883507188,0.636998822927,0,9.61557944379e-10,0,15.9428200614,0.209258681013,0.609151571338,0.129854682474,0,0,2.00062405878e-17,True
case2,G_EP,0.8,76.7833801925,78.7833801925,78.7833801925,0,1561.62476529,0.0218630974128,380.238057462,1181.40857093,4.00746102969e-11,1.1880145305e-17,0.598752248675,0.116302374715,8.56432073972,0.248616329952,8.81293706967,-6.29201684007,0.33942278045,0.0115429131525,0.636543374333,0,9.60103108127e-10,0,14.0350140578,0.248616329952,0.60948069755,0.116197279509,0,0,1.5588658836e-17,True
case2,G_EP,1.2,91.2766046524,93.2766046524,93.2766046524,0,2030.80945363,-0.276284273695,457.080732939,1573.45243641,-1.6018475435e-10,8.84551763433e-17,0.594708806095,0.15408616155,8.89762282862,0.197831644888,9.00666893656,-4.31782424768,0.318226188974,0.0121223960679,0.636983114535,0,9.87139259223e-10,0,18.3829813957,0.197831644888,0.607751702222,0.153975908249,0,0,8.84741498813e-17,True
case2,h,0.8,80.2210344553,82.2210344553,82.2210344553,0,1671.78482883,-0.300774800199,320.576703745,1350.90735029,7.33848537493e-11,7.1204977678e-18,0.598235810431,0.122079383545,8.75998716788,0.229773253797,8.98976042167,-5.44767636171,0.334935525324,0.0116726165254,0.638235423835,0,9.83943593269e-10,0,15.0663103366,0.229773253797,0.60959677531,0.121977669738,0,0,1.45727614004e-17,True
case2,h,1.2,89.7363421798,91.7363421798,91.7363421798,0,1981.72942757,-0.194712095085,536.825795897,1444.70891958,1.35628397402e-10,7.57900686654e-17,0.594752289764,0.150229219036,8.87327575899,0.190966268328,9.03472545088,-4.9719504753,0.320159215983,0.0120591593722,0.635307921246,0,9.58612744739e-10,0,17.9209026539,0.190966268328,0.607842188183,0.150125347239,0,0,7.58177158208e-17,True
case2,T_target,0.8,84.7245963216,86.7245963216,86.7245963216,0,1818.46819909,-0.254025363663,422.683673877,1395.53049985,1.1078782336e-10,3.56355570053e-17,0.59647254395,0.135272828288,8.83425893993,0.209030238911,9.04328917885,-5.2241337814,0.327938506344,0.0118520918901,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.209030238911,0.608813441971,0.135170380875,0,0,3.56355570053e-17,True
