case,stage,J,T_target_C,t_plan_s,K_P,K_I,taper_K,hold_s,q_boost_min,ice_warn,delta_V,risk_warn,L_obs,rate_gain,ff_factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,feasible
case1,DE_seed20260926,1.18872124438,0.619416756015,35.9321170815,0.355857901341,0.0610074718977,1.22572724739,2,0.6,0.8,0.1,0.7,0.02,0.369500894046,1,56.6131698132,72.5,72.5,3770.90158425,1355.32415643,-1.69661337808,305.858265506,4818.6708618,-1.43245415529e-11,4.03160577839e-18,0.607561202688,0.0755550781966,9.97104343376,0.0256865713796,9.99673000514,-13.6065964574,0.345632357934,0.0113225380768,0.433085516812,0,9.97473215136e-10,1,8.01262749073,0.0256865713796,0.611363413226,0.0754716703793,0,3254.72579684,4.13948389455e-18,True
case1,DE_seed20260926,1.02544543467,3.74478582242,46.7636844401,0.446188675666,0.0659531748688,0.717536360381,2,0.6,0.8,0.1,0.7,0.02,0.13556115875,1,57.1127274275,59.1127274275,59.1127274275,3255.29013027,931.269564504,1.50740774183,212.803895221,3975.26320729,3.50155460183e-11,-8.15862134795e-20,0.607704906979,0.0864412984597,7.12569917881,0.567401544095,7.69310072291,-17.7222550032,0.358048191485,0.0107096980378,0.433085516812,0,9.96850602064e-10,1,8.15465908551,0.567401544095,0.607704906979,0.0862716666265,0,3155.29013027,1.9624059322e-19,True
case1,DE_seed20260926,1.0646282188,3.67450735113,31.2028715762,0.499670495666,0.0242327249863,0.103706363732,2,0.6,0.8,0.1,0.7,0.02,0.387442624234,1,50.9368162155,52.9368162155,52.9368162155,3384.05764642,732.164926201,-0.807776711405,208.24674293,3907.16805298,-1.20508047985e-11,-2.43945488809e-21,0.618960590765,0.0525733350817,9.45178987104,0.512386169043,7.47149806492,-18.0294931818,0.370640205859,0.00939894769743,0.433085516812,0,9.94000437515e-10,1,6.48639811543,0.512386169043,0.618960590765,0.0524802420739,0,3284.05764642,1.10588621594e-19,True
case1,DE_seed20260926,1.0562610415,1.75745702867,34.8132825577,0.290391665846,0.0530703358051,1.95772708283,2,0.6,0.8,0.1,0.7,0.02,0.0354753641278,1,54.9769522429,56.9769522429,56.9769522429,3355.40250772,856.790560489,-0.0268722251436,218.717658779,3993.4485372,1.67688085639e-11,-8.18572640227e-20,0.611719156407,0.068222932755,7.23043199353,0.121410848145,7.08442782144,-17.511993768,0.364475546264,0.010249422751,0.433085516812,0,9.98600313551e-10,1,7.55616319478,0.121410848145,0.611719156407,0.0681843135148,0,3268.04644927,9.56808417218e-20,True
case1,DE_seed20260926,0.948935858871,2.15435622943,78.8421742222,0.308452488073,0.0175291627593,1.01131287747,2,0.6,0.8,0.1,0.7,0.02,0.0828853643006,1,76.1350295782,78.1350295782,78.1350295782,2998.98009399,1595.7406008,10.1877144958,248.144430423,4356.76397886,-2.75406364381e-11,2.4803835201e-18,0.575531994296,0.201723083566,6.11117522391,0.583394222408,6.69456944632,-15.7123658926,0.317496682615,0.0116271352594,0.433085516812,0,9.9903374462e-10,1,13.8405088735,0.583394222408,0.594670744605,0.201313083089,0,2898.98009399,2.4803835201e-18,True
case1,DE_seed20260926,1.08936588818,3.00046211114,23.2104421786,0.0529766096302,0.0634746224351,1.44772970916,2,0.6,0.8,0.1,0.7,0.02,0.234418085737,1,49.7669770479,51.7669770479,51.7669770479,3463.90228833,695.935467645,-1.37860716748,214.215893042,3944.24325577,2.6744828574e-11,1.25767452008e-19,0.621685451285,0.0438111018864,10.3961589365,0.471673481254,7.05451370649,-17.7949191548,0.374171298996,0.00915589308607,0.433085516812,0,9.99200194807e-10,1,6.19188001122,0.471673481254,0.621685451285,0.0437435233053,0,3365.6673242,1.65747407119e-19,True
case1,DE_seed20260926,10.9781584573,1.1123542137,89.555201504,0.253236455377,0.014485117458,1.96924883717,2,0.6,0.8,0.1,0.7,0.02,0.256416878615,1,86.3208552837,-1,96.6666666667,3139.40877434,2226.1687949,12.0276424798,321.682806254,5055.92240547,-6.19593265583e-12,4.65610622974e-18,0.560292702302,0.276890546843,8.14618574239,0.0720212336137,8.14727140417,-12.2528125914,0.285093404689,0.0124451904769,0.433085516812,0,9.98465310431e-10,1,16.8962565851,-30,1.26757512098,0,0,2793.07928671,4.71194264162e-18,False
case1,DE_seed20260926,1.06376632821,0.627579733242,32.2703768383,0.538656339789,0.0191447521218,0.531937126992,2,0.6,0.8,0.1,0.7,0.02,0.200997894506,1,55.2582265377,57.2582265377,57.2582265377,3379.33362871,865.017433441,-0.147379924616,222.311285837,4021.89239639,-1.07149844553e-11,1.03541307472e-19,0.611760784948,0.0677466988526,7.20789176631,0.180948476543,6.88947632949,-17.3575073185,0.364624584559,0.0103059202009,0.433085516812,0,9.99547999925e-10,1,7.63367900023,0.180948476543,0.611760784948,0.0676740542226,0,3290.16169185,1.91361683444e-19,True
case1,DE_seed20260926,1.12003968208,0.426972289279,72.0654785413,0.218016663461,0.036845384855,0.903800512854,2,0.6,0.8,0.1,0.7,0.02,0.150862591766,1,74.6977505207,95.9,95.9,3537.08408453,2167.7558777,4.08790348033,361.585232207,5347.3426335,-4.08135747421e-11,1.17619672682e-17,0.578985969389,0.189630449216,9.37581634186,0.017741858691,9.39355820055,-10.8834021404,0.295713982912,0.0123373261691,0.433085516812,0,9.98030103005e-10,1,13.4093251562,0.017741858691,0.599552543514,0.189419630605,0,2931.01758758,1.17619672682e-17,True
case1,DE_seed20260926,0.934457694668,2.31934006094,84.5413520843,0.443382723884,0.0106359674633,1.80808636555,2,0.6,0.8,0.1,0.7,0.02,0.263818431542,1,79.6135775328,81.6135775328,81.6135775328,2950.52233729,1717.95130871,11.8520017865,254.891944768,4425.43370302,1.06581410364e-11,2.4627652348e-18,0.569123738811,0.228523001595,6.0244946469,0.591122534687,6.61561718159,-15.3597963917,0.309719544742,0.0117817702063,0.433085516812,0,9.96852378421e-10,1,14.8840732598,0.591122534687,0.59163469626,0.228051412073,0,2850.54325679,2.50721752387e-18,True
