cooling_min,cv,x_mm,dx_mm,layer,material,node,capacity_J_m2K,k_W_mK,temperature_C
65.0,65,16.486733333333333,0.3333333333333333,BP2,BP,T3_C,505.56,95.0,-27.641955784342827
65.0,66,16.672149999999995,0.0375,cell3_aGDL,aGDL,T3_C,3.7809375,0.3,-27.64195205128339
65.0,67,16.709649999999996,0.0375,cell3_aGDL,aGDL,T3_C,3.7809375,0.3,-27.64194569268524
65.0,68,16.747149999999994,0.0375,cell3_aGDL,aGDL,T3_C,3.7809375,0.3,-27.641940237757186
65.0,69,16.784649999999996,0.0375,cell3_aGDL,aGDL,T3_C,3.7809375,0.3,-27.641935686501313
65.0,70,16.804249999999996,0.0017000000000000001,cell3_aCL,aCL,T3_C,0.39576,0.27,-27.641933770845313
65.0,71,16.805949999999996,0.0017000000000000001,cell3_aCL,aCL,T3_C,0.39576,0.27,-27.641933591879784
65.0,72,16.809799999999996,0.006,cell3_PEM,PEM,T3_C,13.545,0.24,-27.641933158939057
65.0,73,16.815799999999996,0.006,cell3_PEM,PEM,T3_C,13.545,0.24,-27.641933114731703
65.0,74,16.821624999999994,0.0056500000000000005,cell3_cCL,cCL,T3_C,1.31532,0.27,-27.641933668842466
65.0,75,16.827274999999993,0.0056500000000000005,cell3_cCL,cCL,T3_C,1.31532,0.27,-27.641934226426464
65.0,76,16.84884999999999,0.0375,cell3_cGDL,cGDL,T3_C,3.7809375,0.3,-27.64193635406904
65.0,77,16.88634999999999,0.0375,cell3_cGDL,cGDL,T3_C,3.7809375,0.3,-27.641940902815648
65.0,78,16.92384999999999,0.0375,cell3_cGDL,cGDL,T3_C,3.7809375,0.3,-27.641946355234186
65.0,79,16.96134999999999,0.0375,cell3_cGDL,cGDL,T3_C,3.7809375,0.3,-27.64195271132256
65.0,80,17.14676666666666,0.3333333333333333,BP3,BP,T3_C,505.56,95.0,-27.641956443091757
65.0,81,17.480099999999997,0.3333333333333333,BP3,BP,T3_C,505.56,95.0,-27.641960038643347
65.0,82,17.81343333333333,0.3333333333333333,BP3,BP,T3_C,505.56,95.0,-27.64196702595874
65.0,83,18.146766666666664,0.3333333333333333,BP3,BP,T4_C,505.56,95.0,-27.641977405027873
65.0,84,18.4801,0.3333333333333333,BP3,BP,T4_C,505.56,95.0,-27.64199117583583
65.0,85,18.813433333333332,0.3333333333333333,BP3,BP,T4_C,505.56,95.0,-27.6420083383628
65.0,86,18.998849999999997,0.0375,cell4_aGDL,aGDL,T4_C,3.7809375,0.3,-27.642384737540258
65.0,87,19.03635,0.0375,cell4_aGDL,aGDL,T4_C,3.7809375,0.3,-27.643117885175716
65.0,88,19.073849999999997,0.0375,cell4_aGDL,aGDL,T4_C,3.7809375,0.3,-27.64385193603205
65.0,89,19.111349999999995,0.0375,cell4_aGDL,aGDL,T4_C,3.7809375,0.3,-27.644586889827952
65.0,90,19.13095,0.0017000000000000001,cell4_aCL,aCL,T4_C,0.39576,0.27,-27.644973350735917
65.0,91,19.132649999999998,0.0017000000000000001,cell4_aCL,aCL,T4_C,0.39576,0.27,-27.64501042085642
65.0,92,19.136499999999998,0.006,cell4_PEM,PEM,T4_C,13.545,0.24,-27.64510256283464
65.0,93,19.142499999999995,0.006,cell4_PEM,PEM,T4_C,13.545,0.24,-27.64525041851512
65.0,94,19.148324999999993,0.0056500000000000005,cell4_cCL,cCL,T4_C,1.31532,0.27,-27.6453868205751
65.0,95,19.153974999999992,0.0056500000000000005,cell4_cCL,cCL,T4_C,1.31532,0.27,-27.6455111750035
