model,condition,t_s,n_scenarios,objective_tolerance_fraction,V_model_V_min,V_model_V_max,T_model_C_min,T_model_C_max,ice_max_bulk_min,ice_max_bulk_max,ice_pore_max_bulk_min,ice_pore_max_bulk_max,ice_mem_max_bulk_min,ice_mem_max_bulk_max,water_ice_kg_m2_min,water_ice_kg_m2_max
main,minus20,9.0,8,0.05,0.9762350319060905,0.9785610181427561,-16.265403562289634,-16.204184281383505,1.8199874923428712e-07,0.003922445294809323,1.8199874923428712e-07,0.003922445294809323,1.162081015455447e-07,0.002550859819223403,2.101364691814452e-09,4.3323532926694086e-05
main,minus20,9.2,8,0.05,0.9737911910142109,0.9760460980353004,-15.912730603090552,-15.844709370579722,1.9250259223392312e-07,0.004194341769875814,1.9250259223392312e-07,0.004194341769875814,1.2899009767793275e-07,0.002843058058507773,2.2820364220551607e-09,4.732364481525976e-05
main,minus20,9.4,8,0.05,0.9701635202696246,0.9724270306246896,-15.542109238189482,-15.466881672130114,2.033040745227229e-07,0.004475648026341959,2.033040745227229e-07,0.004475648026341959,1.4262946131255559e-07,0.003156167388592342,2.476339184978701e-09,5.162697948070963e-05
main,minus20,9.6,8,0.05,0.9701642607335669,0.972465585524817,-15.192219561428601,-15.109577392893755,2.1435435026370877e-07,0.0047652157883408585,2.1435435026370877e-07,0.0047652157883408585,1.5706603209443768e-07,0.003488740593111124,2.684285136379804e-09,5.622983809716616e-05
main,minus20,9.8,8,0.05,0.9680614503515204,0.970407670912793,-14.86789610529587,-14.777776296074876,2.2560222079585854e-07,0.005061613809361056,2.2560222079585854e-07,0.005061613809361056,1.721916538251671e-07,0.0038376043962550536,2.9057800761745513e-09,6.1120471522224e-05
main,minus20,10.0,8,0.05,0.966113380758162,0.9685059256542601,-14.537597229913331,-14.439822853562987,2.3701621163639934e-07,0.005363916093544676,2.3701621163639934e-07,0.005363916093544676,1.8799166632771113e-07,0.004202368246621696,3.1409719583711252e-09,6.630176983320332e-05
main,minus20,10.2,8,0.05,0.9648909457838101,0.9673293296496576,-14.213152722127461,-14.107580130601207,2.48560699502707e-07,0.005670979622552933,2.48560699502707e-07,0.005670979622552933,2.0442578619700713e-07,0.00458192682782519,3.389788764784221e-09,7.17784714978107e-05
main,minus20,10.4,8,0.05,0.9619965887517292,0.9644879135740784,-13.870502973853092,-13.756803050347969,2.6021173725728316e-07,0.005981901676570784,2.6021173725728316e-07,0.005981901676570784,2.2146825748726728e-07,0.004975522682171286,3.652214342097988e-09,7.754878697436692e-05
main,minus20,10.6,8,0.05,0.9610670329212436,0.9636062699953598,-13.520255315465079,-13.39817302902992,2.719413911992313e-07,0.006295691296223205,2.719413911992313e-07,0.006295691296223205,2.39091773668096e-07,0.005382517593349322,3.927928585690845e-09,8.360675552921846e-05
main,minus20,10.8,8,0.05,0.9575087664136227,0.9601077722908186,-13.137852044624083,-13.00701218757763,2.8372985434828884e-07,0.006611532984351792,2.8372985434828884e-07,0.006611532984351792,2.572567883743079e-07,0.00580181062061047,4.216923983713751e-09,8.994691381195625e-05
main,minus20,11.0,8,0.05,0.9564485119171006,0.9590991876714948,-12.731207173833582,-12.59132333883889,2.955463369125501e-07,0.006928394862412054,2.955463369125501e-07,0.006928394862412054,2.759260117401728e-07,0.006232678183961297,4.5189393072724895e-09,9.655639166138651e-05
main,minus20,11.2,8,0.05,0.9563896643347123,0.9590888249484663,-12.360704292511286,-12.211954900053058,3.0735710323751264e-07,0.007245055967444215,3.0735710323751264e-07,0.007245055967444215,2.949801143417e-07,0.006671784309399351,4.833368555276142e-09,0.00010341789351480139
main,minus20,11.4,8,0.05,0.9533406834577315,0.9561039565986583,-11.971140546318736,-11.813264785305478,3.1916287724221036e-07,0.0075612274381323145,3.1916287724221036e-07,0.0075612274381323145,3.143902241966656e-07,0.007118169630399613,5.160273400231627e-09,0.00011052957631353173
main,minus20,11.6,8,0.05,0.954400973453751,0.9572090283098279,-11.6003565370645,-11.433460663185826,3.3409850295487435e-07,0.00787592428034861,3.309349944379633e-07,0.00787592428034861,3.3409850295487435e-07,0.007570495027845904,5.498580715598768e-09,0.00011787013363771074
