t_s,x_um,dx_um,layer,T_C,lambda_unfrozen,mv_kg_m3,ml_kg_m3,mi_kg_m3,ice_bulk,gas_porosity
18.6,247.0124999999998,9.375,cGDL,-11.008940845642996,0.0,2.3968140235946473e-05,0.046279277489058676,2.7694448165209565e-08,3.010266104914083e-11,0.7999532532249589
18.6,256.3874999999998,9.375,cGDL,-11.043330490616881,0.0,4.1003558542633695e-06,0.0,0.0,0.0,0.8
18.6,265.7624999999998,9.375,cGDL,-11.081485021324113,0.0,3.5540890354295314e-06,0.0,0.0,0.0,0.8
18.6,275.1374999999998,9.375,cGDL,-11.123398566995093,0.0,3.0077269603623564e-06,0.0,0.0,0.0,0.8
18.6,284.5124999999998,9.375,cGDL,-11.169071121743059,0.0,2.461228300244054e-06,0.0,0.0,0.0,0.8
18.6,293.8874999999998,9.375,cGDL,-11.218502680989616,0.0,1.914581158555338e-06,0.0,0.0,0.0,0.8
18.6,303.26249999999976,9.375,cGDL,-11.271693241465243,0.0,1.3677736226776567e-06,0.0,0.0,0.0,0.8
18.6,312.63749999999976,9.375,cGDL,-11.328642801210037,0.0,8.207937625888308e-07,0.0,0.0,0.0,0.8
18.6,322.01249999999976,9.375,cGDL,-11.389351359574562,0.0,2.7362962955428023e-07,0.0,0.0,0.0,0.8
18.8,4.6875,9.375,aGDL,-11.10104039599372,0.0,5.75923144078911e-08,0.0,0.0,0.0,0.8
18.8,14.0625,9.375,aGDL,-11.07569863564106,0.0,1.7276859221066e-07,0.0,0.0,0.0,0.8
18.8,23.4375,9.375,aGDL,-11.051888933041596,0.0,2.879286770885814e-07,0.0,0.0,0.0,0.8
18.8,32.8125,9.375,aGDL,-11.029611288098124,0.0,4.03073586898633e-07,0.0,0.0,0.0,0.8
18.8,42.18749999999999,9.375,aGDL,-11.00886570069008,0.0,5.182043388288077e-07,0.0,0.0,0.0,0.8
18.8,51.56249999999999,9.375,aGDL,-10.989652170673935,0.0,6.33321949443017e-07,0.0,0.0,0.0,0.8
18.8,60.9375,9.375,aGDL,-10.971970697882796,0.0,7.484274347259293e-07,0.0,0.0,0.0,0.8
18.8,70.3125,9.375,aGDL,-10.955821282126806,0.0,8.635218101277499e-07,0.0,0.0,0.0,0.8
18.8,79.68749999999999,9.375,aGDL,-10.941203923192916,0.0,9.786060906089452e-07,0.0,0.0,0.0,0.8
18.8,89.06249999999999,9.375,aGDL,-10.928118620844941,0.0,1.093681290684917e-06,0.0,0.0,0.0,0.8
18.8,98.43749999999999,9.375,aGDL,-10.91656537482362,0.0,1.2087484244706317e-06,0.0,0.0,0.0,0.8
18.8,107.81249999999999,9.375,aGDL,-10.906544184846496,0.0,1.323808505725207e-06,0.0,0.0,0.0,0.8
18.8,117.18749999999999,9.375,aGDL,-10.898055050608093,0.0,1.4388625478964631e-06,0.0,0.0,0.0,0.8
18.8,126.5625,9.375,aGDL,-10.891097971779914,0.0,1.5539115641654434e-06,0.0,0.0,0.0,0.8
18.8,135.9375,9.375,aGDL,-10.885672948010324,0.0,1.6689565674909044e-06,0.0,0.0,0.0,0.8
18.8,145.3125,9.375,aGDL,-10.881779978924499,0.0,1.783998570653786e-06,0.0,0.0,0.0,0.8
18.8,150.28333333333333,0.5666666666666668,aCL,-10.880536891458291,0.0,9.063928754847716e-07,0.0,0.0,0.0,0.3916
18.8,150.85,0.5666666666666668,aCL,-10.880416541185753,0.0,9.16331554792024e-07,0.0,0.0,0.0,0.3916
18.8,151.41666666666663,0.5666666666666668,aCL,-10.880301100770794,0.0,9.262702275859664e-07,0.0,0.0,0.0,0.3916
18.8,151.9833333333333,0.5666666666666668,aCL,-10.880190570210914,0.0,9.362088941476897e-07,0.0,0.0,0.0,0.3916
18.8,152.54999999999995,0.5666666666666668,aCL,-10.880084949503782,0.0,9.461475547582841e-07,0.0,0.0,0.0,0.3916
18.8,153.11666666666662,0.5666666666666668,aCL,-10.879984238647012,0.0,9.560862096988385e-07,0.0,0.0,0.0,0.3916
18.8,153.89999999999995,1.0,PEM,-10.879858590276513,3.45342055188663,0.0,133.64737535801257,0.0001637451843826151,1.779838960680599e-07,0.0
18.8,154.89999999999995,1.0,PEM,-10.879708934174516,3.5347487978017873,0.0,136.79477847492916,0.0002225019940549013,2.418499935379362e-07,0.0
18.8,155.89999999999995,1.0,PEM,-10.879573314262132,3.6204134483384864,0.0,140.1100004506994,0.00029739772163267216,3.232583930789915e-07,0.0
18.8,156.89999999999995,1.0,PEM,-10.87945173034666,3.710949056276333,0.0,143.61372847789409,0.0003924424686075836,4.2656790066041697e-07,0.0
18.8,157.89999999999995,1.0,PEM,-10.879344182227442,3.806661616162262,0.0,147.31780454547953,0.0005097453260124426,5.540710065352636e-07,0.0
18.8,158.89999999999992,1.0,PEM,-10.87925066969217,3.9078836562658337,0.0,151.23509749748774,0.0006499397340026377,7.064562326115627e-07,0.0
18.8,159.89999999999992,1.0,PEM,-10.879171192513923,4.014976226458118,0.0,155.37957996392916,0.0008101911270168072,8.806425293660947e-07,0.0
18.8,160.89999999999992,1.0,PEM,-10.879105750450094,4.12833095321411,0.0,159.76640788938604,0.000987748637157614,1.0736398229974067e-06,0.0
18.8,161.89999999999992,1.0,PEM,-10.879054343242672,4.24837215017076,0.0,164.4120022116084,0.0011776853271465836,1.2800927468984605e-06,0.0
18.8,162.89999999999992,1.0,PEM,-10.87901697062,4.375558955088725,0.0,169.33413156193365,0.0013790847437194136,1.4990051562167539e-06,0.0
18.8,163.89999999999992,1.0,PEM,-10.878993632298318,4.5103874646546,0.0,174.551994882133,0.0015933205046709125,1.731870113772731e-06,0.0
18.8,164.89999999999992,1.0,PEM,-10.87898432798221,4.671678408128442,0.0,180.79395439457068,0.0018513722308267336,2.0123611204638407e-06,0.0
18.8,166.1062499999999,1.4125,cCL,-10.878976622919595,0.0,1.4814579759472795e-05,21.455788480442827,0.0008424784978500517,9.157374976630997e-07,0.3990265706458934
18.8,167.5187499999999,1.4125,cCL,-10.879005943463994,0.0,1.4691992995788998e-05,21.99339744039461,0.0009575693863355686,1.0408362894951832e-06,0.39848340619361494
18.8,168.9312499999999,1.4125,cCL,-10.879074776173809,0.0,1.458895105228663e-05,22.00319556870277,0.000979333154908231,1.0644925596828597e-06,0.39847348543804356
18.8,170.34374999999986,1.4125,cCL,-10.879183148708478,0.0,1.4486511580129648e-05,21.992620900910065,0.000987327850797882,1.073182446519437e-06,0.39848415823077565
18.8,171.75624999999985,1.4125,cCL,-10.879331071549757,0.0,1.4384669293529825e-05,21.961591897567942,0.0009877405312910365,1.0736310122728658e-06,0.39851550020982823
18.8,173.16874999999985,1.4125,cCL,-10.87951856358336,0.0,1.4283424845741527e-05,21.909866842617035,0.00098192313897916,1.0673077597599565e-06,0.39856775406333417
18.8,174.58124999999984,1.4125,cCL,-10.879745652327813,0.0,1.4182784834579847e-05,21.837036274318816,0.0009694049394401993,1.0537010211306514e-06,0.3986413339006771
18.8,175.9937499999998,1.4125,cCL,-10.880012374294893,0.0,1.4082762134048171e-05,21.742509837956533,0.0009474922215963383,1.0298828495612373e-06,0.3987368389676994
18.8,181.38749999999982,9.375,cGDL,-10.882058492111469,0.0,2.7148815586864874e-05,21.202291284492272,0.0006921541094075454,7.52341423269071e-07,0.7785827918156553
18.8,190.76249999999982,9.375,cGDL,-10.88911909321314,0.0,2.6683054565552186e-05,19.955391946807175,0.0004895621635332589,5.321327864491945e-07,0.779842506304782
18.8,200.13749999999982,9.375,cGDL,-10.899528516670955,0.0,2.6210369726117287e-05,18.524857935640394,0.00034640581846978185,3.765280635541107e-07,0.7812876457591684
18.8,209.51249999999982,9.375,cGDL,-10.9133655846627,0.0,2.573323494092701e-05,16.82669118468697,0.0002364821029428616,2.5704576406832785e-07,0.7830030851919259
18.8,218.88749999999982,9.375,cGDL,-10.930741564528489,0.0,2.5256751268042395e-05,14.690850496993482,0.00014527060923614116,1.5790283612624038e-07,0.7851605991709079
18.8,228.26249999999982,9.375,cGDL,-10.95184179938235,0.0,2.4794706761133006e-05,11.664241465287773,6.817517704027035e-05,7.410345330464169e-08,0.7882178638103975
18.8,237.63749999999982,9.375,cGDL,-10.977129809698738,0.0,2.440774385966764e-05,5.765889606047285,1.3554795234254538e-05,1.4733473080711454e-08,0.7941758543513276
18.8,247.0124999999998,9.375,cGDL,-11.007144579620274,0.0,2.399467890824391e-05,0.1368079008820554,9.853085863040101e-08,1.0709875938087067e-10,0.7998618100940305
18.8,256.3874999999998,9.375,cGDL,-11.04153625838336,0.0,4.125912111162155e-06,0.0,0.0,0.0,0.8
18.8,265.7624999999998,9.375,cGDL,-11.079703597704281,0.0,3.5742356004695895e-06,0.0,0.0,0.0,0.8
18.8,275.1374999999998,9.375,cGDL,-11.121629270756387,0.0,3.0247765284158028e-06,0.0,0.0,0.0,0.8
18.8,284.5124999999998,9.375,cGDL,-11.167313278859922,0.0,2.4751800623429276e-06,0.0,0.0,0.0,0.8
18.8,293.8874999999998,9.375,cGDL,-11.216755623194672,0.0,1.9254342397822976e-06,0.0,0.0,0.0,0.8
18.8,303.26249999999976,9.375,cGDL,-11.269956304799962,0.0,1.3755270820519549e-06,0.0,0.0,0.0,0.8
18.8,312.63749999999976,9.375,cGDL,-11.326915324574657,0.0,8.254465929506227e-07,0.0,0.0,0.0,0.8
18.8,322.01249999999976,9.375,cGDL,-11.387632683276877,0.0,2.7518075744724875e-07,0.0,0.0,0.0,0.8
19.0,4.6875,9.375,aGDL,-11.10457791653647,0.0,5.7926699637997134e-08,0.0,0.0,0.0,0.8
19.0,14.0625,9.375,aGDL,-11.079240106549094,0.0,1.7377170044776562e-07,0.0,0.0,0.0,0.8
19.0,23.4375,9.375,aGDL,-11.055431465397703,0.0,2.8960041554578914e-07,0.0,0.0,0.0,0.8
19.0,32.8125,9.375,aGDL,-11.033151993423985,0.0,4.0541386702684414e-07,0.0,0.0,0.0,0.8
19.0,42.18749999999999,9.375,aGDL,-11.012401690826039,0.0,5.21213076314196e-07,0.0,0.0,0.0,0.8
19.0,51.56249999999999,9.375,aGDL,-10.993180557658661,0.0,6.36999064204521e-07,0.0,0.0,0.0,0.8
19.0,60.9375,9.375,aGDL,-10.97548859383312,0.0,7.527728509127644e-07,0.0,0.0,0.0,0.8
19.0,70.3125,9.375,aGDL,-10.959325799117607,0.0,8.685354561169388e-07,0.0,0.0,0.0,0.8
19.0,79.68749999999999,9.375,aGDL,-10.9446921731369,0.0,9.842878990028673e-07,0.0,0.0,0.0,0.8
19.0,89.06249999999999,9.375,aGDL,-10.931587715372416,0.0,1.1000311983088775e-06,0.0,0.0,0.0,0.8
19.0,98.43749999999999,9.375,aGDL,-10.920012425162383,0.0,1.2157663723704472e-06,0.0,0.0,0.0,0.8
19.0,107.81249999999999,9.375,aGDL,-10.909966301701786,0.0,1.3314944391648137e-06,0.0,0.0,0.0,0.8
19.0,117.18749999999999,9.375,aGDL,-10.901449344042476,0.0,1.4472164163555393e-06,0.0,0.0,0.0,0.8
19.0,126.5625,9.375,aGDL,-10.894461551093116,0.0,1.5629333213370534e-06,0.0,0.0,0.0,0.8
19.0,135.9375,9.375,aGDL,-10.889002921619067,0.0,1.6786461712791592e-06,0.0,0.0,0.0,0.8
19.0,145.3125,9.375,aGDL,-10.885073454242786,0.0,1.794355983171521e-06,0.0,0.0,0.0,0.8
19.0,150.28333333333333,0.5666666666666668,aCL,-10.883809625790661,0.0,9.116551166244784e-07,0.0,0.0,0.0,0.3916
19.0,150.85,0.5666666666666668,aCL,-10.883687214478698,0.0,9.216514870709653e-07,0.0,0.0,0.0,0.3916
19.0,151.41666666666663,0.5666666666666668,aCL,-10.883569741949884,0.0,9.316478508593539e-07,0.0,0.0,0.0,0.3916
19.0,151.9833333333333,0.5666666666666668,aCL,-10.883457208194557,0.0,9.416442082740196e-07,0.0,0.0,0.0,0.3916
19.0,152.54999999999995,0.5666666666666668,aCL,-10.883349613203052,0.0,9.516405595993355e-07,0.0,0.0,0.0,0.3916
19.0,153.11666666666662,0.5666666666666668,aCL,-10.88324695696599,0.0,9.616369051196737e-07,0.0,0.0,0.0,0.3916
19.0,153.89999999999995,1.0,PEM,-10.883118795031294,3.473166794097948,0.0,134.41155493159056,0.0001780474825124758,1.9352987229616936e-07,0.0
19.0,154.89999999999995,1.0,PEM,-10.88296637428408,3.5550504939657013,0.0,137.58045411647262,0.0002393208378627004,2.6013134550293523e-07,0.0
19.0,155.89999999999995,1.0,PEM,-10.882828385055404,3.641341561904943,0.0,140.9199184457213,0.00031686799615164763,3.444217349474431e-07,0.0
19.0,156.89999999999995,1.0,PEM,-10.882704829154761,3.7325714467247386,0.0,144.45051498824736,0.00041471545052450097,4.5077766361358803e-07,0.0
19.0,157.89999999999995,1.0,PEM,-10.882595708517727,3.829041587379781,0.0,148.1839094315975,0.0005349816402546735,5.815017828855147e-07,0.0
19.0,158.89999999999992,1.0,PEM,-10.88250102520982,3.9310798111456102,0.0,152.1327886913351,0.0006783101861244918,7.372936805700998e-07,0.0
19.0,159.89999999999992,1.0,PEM,-10.882420781431847,4.039042039337744,0.0,156.31092692237067,0.0008418775852100875,9.150843317500952e-07,0.0
19.0,160.89999999999992,1.0,PEM,-10.882354979527577,4.153313931020808,0.0,160.73324913050524,0.0010229449658845078,1.111896702048378e-06,0.0
19.0,161.89999999999992,1.0,PEM,-10.882303621994026,4.274312472124151,0.0,165.41589267120463,0.0012165983723864972,1.3223895352027143e-06,0.0
19.0,162.89999999999992,1.0,PEM,-10.882266711493855,4.4024875174101155,0.0,170.37626692377145,0.0014219353669372044,1.5455819205839178e-06,0.0
19.0,163.89999999999992,1.0,PEM,-10.882244250867814,4.538323300788903,0.0,175.63311174053052,0.0016403446587831484,1.7829833247642918e-06,0.0
19.0,164.89999999999992,1.0,PEM,-10.882236243147872,4.700658704506518,0.0,181.9154918644022,0.0019033863673570278,2.0688982253880737e-06,0.0
19.0,166.1062499999999,1.4125,cCL,-10.88223102173015,0.0,1.483905597068142e-05,21.56448523119436,0.0008596174859764558,9.343668325831041e-07,0.3989167573188297
19.0,167.5187499999999,1.4125,cCL,-10.882263902365423,0.0,1.4715745509782e-05,22.10270485726153,0.0009751369706215261,1.0599314898060067e-06,0.39837297556622586
19.0,168.9312499999999,1.4125,cCL,-10.88233654584144,0.0,1.4612041820168954e-05,22.11245560134665,0.0009969086360069,1.083596343485761e-06,0.39836310266492253
19.0,170.34374999999986,1.4125,cCL,-10.882448983288327,0.0,1.4508931555586922e-05,22.102111942891444,0.0010048951803843268,1.092277369982964e-06,0.39837354212374976
