t_s,x_um,dx_um,layer,T_C,lambda_unfrozen,mv_kg_m3,ml_kg_m3,mi_kg_m3,ice_bulk,gas_porosity
0.2,247.01249999999715,9.375,cGDL,-19.98816539638659,0.0,2.8257738035066825e-06,0.0,0.0,0.0,0.8
0.2,256.387499999997,9.375,cGDL,-19.98888286569067,0.0,2.4933377076355847e-06,0.0,0.0,0.0,0.8
0.2,265.7624999999968,9.375,cGDL,-19.989745330264924,0.0,2.160900136823369e-06,0.0,0.0,0.0,0.8
0.2,275.13749999999663,9.375,cGDL,-19.990752793888987,0.0,1.8284607951822566e-06,0.0,0.0,0.0,0.8
0.2,284.51249999999646,9.375,cGDL,-19.991905260349597,0.0,1.4960193868051814e-06,0.0,0.0,0.0,0.8
0.2,293.8874999999963,9.375,cGDL,-19.993202733439176,0.0,1.1635756157646163e-06,0.0,0.0,0.0,0.8
0.2,303.2624999999962,9.375,cGDL,-19.994645216955035,0.0,8.311291861114049e-07,0.0,0.0,0.0,0.8
0.2,312.637499999996,9.375,cGDL,-19.996232714698237,0.0,4.986798018735978e-07,0.0,0.0,0.0,0.8
0.2,322.01249999999584,9.375,cGDL,-19.99796523047226,0.0,1.662271670552918e-07,0.0,0.0,0.0,0.8
0.2,451.69999999999584,250.0,cBP,-19.998924812670964,0.0,0.0,0.0,0.0,0.0,0.0
0.2,701.6999999999961,250.0,cBP,-19.998961239199275,0.0,0.0,0.0,0.0,0.0,0.0
0.2,951.6999999999963,250.0,cBP,-19.998992468768336,0.0,0.0,0.0,0.0,0.0,0.0
0.2,1201.6999999999964,250.0,cBP,-19.999018504379137,0.0,0.0,0.0,0.0,0.0,0.0
0.2,1451.6999999999966,250.0,cBP,-19.9990393486934,0.0,0.0,0.0,0.0,0.0,0.0
0.2,1701.6999999999969,250.0,cBP,-19.9990550039972,0.0,0.0,0.0,0.0,0.0,0.0
0.2,1951.699999999997,250.0,cBP,-19.999065472170003,0.0,0.0,0.0,0.0,0.0,0.0
0.2,2201.6999999999975,250.0,cBP,-19.99907075466072,0.0,0.0,0.0,0.0,0.0,0.0
0.4,-1875.0,250.0,aBP,-19.997027852930444,0.0,0.0,0.0,0.0,0.0,0.0
0.4,-1625.0000000000002,250.0,aBP,-19.997018730702337,0.0,0.0,0.0,0.0,0.0,0.0
0.4,-1375.0,250.0,aBP,-19.997000791050397,0.0,0.0,0.0,0.0,0.0,0.0
0.4,-1125.0000000000002,250.0,aBP,-19.996974018826705,0.0,0.0,0.0,0.0,0.0,0.0
0.4,-874.9999999999999,250.0,aBP,-19.996938391770414,0.0,0.0,0.0,0.0,0.0,0.0
0.4,-625.0000000000001,250.0,aBP,-19.996893880505127,0.0,0.0,0.0,0.0,0.0,0.0
0.4,-374.9999999999999,250.0,aBP,-19.996840448535693,0.0,0.0,0.0,0.0,0.0,0.0
0.4,-125.00000000000011,250.0,aBP,-19.996778052244963,0.0,0.0,0.0,0.0,0.0,0.0
0.4,4.687499999999917,9.375,aGDL,-19.996085856701853,0.0,5.205242680890902e-08,0.0,0.0,0.0,0.8
0.4,14.062499999999753,9.375,aGDL,-19.994842158561113,0.0,1.5615690022769672e-07,0.0,0.0,0.0,0.8
0.4,23.437499999999588,9.375,aGDL,-19.993667732272172,0.0,2.602606338906295e-07,0.0,0.0,0.0,0.8
0.4,32.812499999999424,9.375,aGDL,-19.992562568604086,0.0,3.643636690781281e-07,0.0,0.0,0.0,0.8
0.4,42.187499999999254,9.375,aGDL,-19.991526658833436,0.0,4.6846604706286215e-07,0.0,0.0,0.0,0.8
0.4,51.56249999999909,9.375,aGDL,-19.990559994744473,0.0,5.725678091101944e-07,0.0,0.0,0.0,0.8
0.4,60.93749999999893,9.375,aGDL,-19.989662568629058,0.0,6.766689964786251e-07,0.0,0.0,0.0,0.8
0.4,70.31249999999876,9.375,aGDL,-19.988834373286494,0.0,7.807696504202367e-07,0.0,0.0,0.0,0.8
