model,condition,parameter,multiplier,kind,t_s,V_model_V,T_model_C,ice_max_bulk,ice_pore_max_bulk,ice_mem_max_bulk,water_ice_kg_m2,model_valid,ever_invalid
bp,minus20,all_phase_rates,10.0,common_phase_timescale,8.2,0.6592676100688297,-19.871016619230403,0.005386540688853023,0.005386540688853023,0.004464894753441045,6.076690415220524e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,8.4,0.6542323694707062,-19.854636573717386,0.005944145217880444,0.005944145217880444,0.0051004513117588095,6.759850632012431e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,8.6,0.6494718826918561,-19.836818497919893,0.006565462790498985,0.006565462790498985,0.005808672324933687,7.524724298614457e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,8.8,0.6424434222881977,-19.816788848040744,0.007248816753633542,0.007248816753633542,0.006596263269434994,8.374828104265804e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,9.0,0.6390241966276907,-19.795337449750946,0.007993634947788536,0.007993634947788536,0.007472982644026957,9.317205317939484e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,9.2,0.6349365632652985,-19.772529267788684,0.008793730321569009,0.008793730321569009,0.008431462047084592,0.00010349273769851532,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,9.4,0.6295490269592842,-19.74770935591863,0.009644584570851286,0.009644584570851286,0.009474651019727635,0.00011471078993246587,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,9.6,0.6278830059695938,-19.72202909462817,0.010603538013777213,0.010543340586685417,0.010603538013777213,0.00012684345502979893,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,9.8,0.6241506608251015,-19.695096880144916,0.011803966734469068,0.01148295594620379,0.011803966734469068,0.00013981275747743357,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,10.0,0.6205264654145376,-19.666610581274824,0.01307817132295744,0.012460911560892433,0.01307817132295744,0.00015360868650160666,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,10.2,0.6176370295613196,-19.63688240032488,0.014425605393948384,0.013475829293496397,0.014425605393948384,0.00016823311029426547,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,10.4,0.6129273600560022,-19.605199049263007,0.015846588978607957,0.014526516479586265,0.015846588978607957,0.00018368517707686866,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,10.6,0.6101778856233719,-19.572109357751714,0.01734711289676023,0.015614228089138895,0.01734711289676023,0.0002000093161022685,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,10.8,0.6045380312046557,-19.53656376087403,0.018927553228693744,0.016738649146618503,0.018927553228693744,0.00021721914650876716,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,11.0,0.6013543860230164,-19.499195784494674,0.020599524180529783,0.017903005508598902,0.020599524180529783,0.00023539891858644408,1,0
