case,stage,J,T_target_C,t_plan_s,K_P,K_I,taper_K,hold_s,q_boost_min,ice_warn,delta_V,risk_warn,L_obs,rate_gain,ff_factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,feasible
case3,DE_seed20260926,0.893890578116,2.02791457312,85.0835931629,0.120305930318,0.00537137529881,1.41371151002,2,0.6,0.8,0.1,0.7,0.02,0.335517479757,1,77.9487258196,79.9487258196,79.9487258196,1921.30081608,1634.20478117,7.04692848659,308.189442757,3254.36308298,0,2.84359124789e-18,0.582706589689,0.179423705587,6.77675487073,0.562989048518,7.32592183516,-11.6530227484,0.324310703148,0.0116456755182,0.510362262906,0,9.9900532291e-10,0.672995025454,14.3846177459,0.562989048518,0.599937859543,0.179072448523,0,1854.66846671,3.12738116653e-18,True
case3,DE_seed20260926,10.3896759858,1.1123542137,189.031909156,0.253236455377,0.014485117458,1.15411324151,2,0.6,0.8,0.1,0.7,0.02,0.177981501983,1,-1,-1,96.6666666667,207.409675825,2260.6335411,33.2697553935,279.428394282,2221.88457804,7.78754838393e-12,1.91741154204e-18,0.535749350844,0.453524711795,8.5952414152,-8.86554091797,-0.782167309607,-14.7977646566,0.270858822846,0.0128313678113,0.505563915367,0,9.96051241486e-10,0.211456746189,-1,-22.0958071689,1.26054452142,0,0,0,1.9347587768e-18,False
case3,DE_seed20260926,10.7208903587,3.12004146056,116.024112239,0.631116071792,0.0270798736755,1.17401709861,2,0.6,0.8,0.1,0.7,0.02,0.392668348883,1,-1,-1,96.6666666667,1508.95364978,2209.25136371,14.2500734865,356.423674569,3376.03141241,1.83035808732e-11,4.5276282723e-18,0.565846833781,0.306272639826,7.67549730536,-1.07607980144,5.98830732599,-10.6844042036,0.291931645916,0.0124349127549,0.509789423982,0,9.99886395903e-10,0.471059116934,-1,-22.0958071689,1.26054452142,0,0,0,4.59322250373e-18,False
case3,DE_seed20260926,10.4586334437,3.23002745489,164.241202986,0.562618404138,0.0105297568292,1.9294922203,2,0.6,0.8,0.1,0.7,0.02,0.289826007186,1,-1,-1,96.6666666667,483.261224963,2248.48794333,29.6149298349,297.349382849,2464.01471528,-1.42676981341e-11,3.23038037292e-18,0.54568242596,0.427194002873,8.61538697036,-7.17740745289,0.481873751628,-13.9255042365,0.276494951945,0.0127339521283,0.507129292815,0,9.99008875624e-10,0.305162378449,-1,-22.0958071689,1.26054452142,0,0,0,3.23038037292e-18,False
case3,DE_seed20260926,10.4256361181,0.370798229463,155.481097462,0.465918837549,0.0353330226349,1.0620198124,2,0.6,0.8,0.1,0.7,0.02,0.0490787020125,1,-1,-1,96.6666666667,341.339068295,2253.58599008,31.5641893257,289.527938412,2336.96130929,-4.71800376545e-12,2.15810442433e-18,0.540437240984,0.440840971984,8.66571817914,-8.12034352043,-0.284179994753,-14.3644024173,0.274072587271,0.0127816694148,0.506502658741,0,9.97781857137e-10,0.155630984059,-1,-22.0958071689,1.26054452142,0,0,0,2.15810442433e-18,False
case3,DE_seed20260926,0.969155434813,2.40783735139,37.8864720395,0.241936752151,0.0290094693921,1.54516029174,2,0.6,0.8,0.1,0.7,0.02,0.156053550115,1,39.5433788776,41.5433788776,41.5433788776,2110.11702149,447.249508014,0.027058084925,171.255265499,2386.13832209,7.21911419532e-12,5.88179678573e-20,0.635564048798,0.0300040451596,3.13517990163,0.656807916891,3.79198781852,-15.7082522914,0.382803248259,0.00717411437387,0.510362262906,0,9.98422011733e-10,1,3.90919703265,0.656807916891,0.635564048798,0.0299347380505,0,2010.11702149,6.43745039913e-20,True
case3,DE_seed20260926,0.983057824831,2.84783374079,13.3383860768,0.424341720279,0.0492514942835,1.75873967428,2,0.6,0.8,0.1,0.7,0.02,0.0901333598558,1,27.4982862473,29.4982862473,29.4982862473,2146.57394087,216.732323941,-1.09974541935,137.071344593,2225.1351748,-1.47792889038e-12,5.89534931289e-20,0.657673210673,0.00680994581589,8.13338305229,0.468585469584,4.26165779339,-16.5275990647,0.3916,0.00498450095798,0.510362262906,0,5.04930330186e-10,1,1.89038936634,0.468585469584,0.657673210673,0.00679883917078,0,2046.57394087,8.01293168103e-20,True
case3,DE_seed20260926,10.4160582372,2.46386081882,177.507381663,0.0987506311153,0.0552764262327,0.2298040563,2,0.6,0.8,0.1,0.7,0.02,0.117224752751,1,-1,-1,96.6666666667,283.704543915,2255.93884689,32.2254248309,286.068802342,2285.80001329,4.54747350886e-12,3.04281339708e-18,0.538098452528,0.445860001725,8.63719845982,-8.61793898358,-0.527565557962,-14.531912513,0.272976202918,0.0128048510431,0.506253554852,0,9.99056837259e-10,0.177930606272,-1,-22.0958071689,1.26054452142,0,0,0,3.04281339708e-18,False
case3,DE_seed20260926,10.5527828005,1.85993611624,135.701499966,0.384385156241,0.0520103436014,0.680041674128,2,0.6,0.8,0.1,0.7,0.02,0.170038193249,1,-1,-1,96.6666666667,849.097303487,2234.45913399,23.9309757546,318.203751661,2789.28366157,-3.63797880709e-12,1.87350135405e-18,0.555282161239,0.388578325262,8.27658544854,-5.01952024744,2.41769166604,-12.7631250456,0.282584568053,0.0126209655812,0.508015346195,0,9.97758320409e-10,0.2552923488,-1,-22.0958071689,1.26054452142,0,0,0,3.30762977771e-18,False
case3,DE_seed20260926,0.920373015286,0.732271011763,52.9689113594,0.200813397691,0.00213360920781,0.838090286117,2,0.6,0.8,0.1,0.7,0.02,0.232894762919,1,51.3323457718,53.3323457718,53.3323457718,1995.81929772,756.523518582,2.7641922539,207.207759214,2547.89924934,6.39488462184e-12,1.00153175683e-19,0.614645683652,0.0691141569216,3.24928287899,0.022054310331,3.27133718932,-14.7644339066,0.366650321121,0.00950154864794,0.510362262906,0,9.99658134049e-10,1,6.58752430609,0.022054310331,0.614645683652,0.0690778430466,0,1916.85206146,1.26038502551e-19,True
