case,seed,noise_T_K,noise_V_V,initial_shift_K,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,feasible
case2,3007,0.2,0.005,-1,93.3631731808,95.3631731808,95.3631731808,0,2103.89246832,0.51516645175,458.337187332,1646.07044744,-1.3073986338e-11,9.3482079716e-17,0.591993894145,0.169079857817,8.77936751658,0.196177536425,8.89177042168,-5.17383709886,0.313293585126,0.0122200228276,0.625060585585,0,9.29919252712e-10,0,19.0089519542,0.196177536425,0.605968490158,0.168959852141,0,0,9.36468784463e-17,True
case2,3008,0.2,0.005,-1,93.3631731808,95.3631731808,95.3631731808,0,2103.89246832,0.51516645175,458.337187332,1646.07044744,-1.3073986338e-11,9.3482079716e-17,0.591993894145,0.169079857817,8.77936751658,0.196177536425,8.89177042168,-5.17383709886,0.313293585126,0.0122200228276,0.625060585585,0,9.29919252712e-10,0,19.0089519542,0.196177536425,0.605968490158,0.168959852141,0,0,9.36468784463e-17,True
case2,3009,0.2,0.005,-1,93.3631731808,95.3631731808,95.3631731808,0,2103.89246832,0.51516645175,458.337187332,1646.07044744,-1.3073986338e-11,9.3482079716e-17,0.591993894145,0.169079857817,8.77936751658,0.196177536425,8.89177042168,-5.17383709886,0.313293585126,0.0122200228276,0.625060585585,0,9.29919252712e-10,0,19.0089519542,0.196177536425,0.605968490158,0.168959852141,0,0,9.36468784463e-17,True
case2,3000,0.2,0.005,0,84.7245963216,86.7245963216,86.7245963216,0,1818.46819909,-0.254025363663,422.683673877,1395.53049985,1.1078782336e-10,3.56355570053e-17,0.59647254395,0.135272828288,8.83425893993,0.209030238911,9.04328917885,-5.2241337814,0.327938506344,0.0118520918901,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.209030238911,0.608813441971,0.135170380875,0,0,3.56355570053e-17,True
case2,3001,0.2,0.005,0,84.7245963216,86.7245963216,86.7245963216,0,1818.46819909,-0.254025363663,422.683673877,1395.53049985,1.1078782336e-10,3.56355570053e-17,0.59647254395,0.135272828288,8.83425893993,0.209030238911,9.04328917885,-5.2241337814,0.327938506344,0.0118520918901,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.209030238911,0.608813441971,0.135170380875,0,0,3.56355570053e-17,True
case2,3002,0.2,0.005,0,84.7245963216,86.7245963216,86.7245963216,0,1818.46819909,-0.254025363663,422.683673877,1395.53049985,1.1078782336e-10,3.56355570053e-17,0.59647254395,0.135272828288,8.83425893993,0.209030238911,9.04328917885,-5.2241337814,0.327938506344,0.0118520918901,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.209030238911,0.608813441971,0.135170380875,0,0,3.56355570053e-17,True
case2,3003,0.2,0.005,0,84.7245963216,86.7245963216,86.7245963216,0,1818.46819909,-0.254025363663,422.683673877,1395.53049985,1.1078782336e-10,3.56355570053e-17,0.59647254395,0.135272828288,8.83425893993,0.209030238911,9.04328917885,-5.2241337814,0.327938506344,0.0118520918901,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.209030238911,0.608813441971,0.135170380875,0,0,3.56355570053e-17,True
case2,3004,0.2,0.005,0,84.7245963216,86.7245963216,86.7245963216,0,1818.46819909,-0.254025363663,422.683673877,1395.53049985,1.1078782336e-10,3.56355570053e-17,0.59647254395,0.135272828288,8.83425893993,0.209030238911,9.04328917885,-5.2241337814,0.327938506344,0.0118520918901,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.209030238911,0.608813441971,0.135170380875,0,0,3.56355570053e-17,True
case2,3005,0.2,0.005,0,84.7245963216,86.7245963216,86.7245963216,0,1818.46819909,-0.254025363663,422.683673877,1395.53049985,1.1078782336e-10,3.56355570053e-17,0.59647254395,0.135272828288,8.83425893993,0.209030238911,9.04328917885,-5.2241337814,0.327938506344,0.0118520918901,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.209030238911,0.608813441971,0.135170380875,0,0,3.56355570053e-17,True
case2,3006,0.2,0.005,0,84.7245963216,86.7245963216,86.7245963216,0,1818.46819909,-0.254025363663,422.683673877,1395.53049985,1.1078782336e-10,3.56355570053e-17,0.59647254395,0.135272828288,8.83425893993,0.209030238911,9.04328917885,-5.2241337814,0.327938506344,0.0118520918901,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.209030238911,0.608813441971,0.135170380875,0,0,3.56355570053e-17,True
