case,candidate,training_passed,training_count,all_training_passed,training_max_stop_s,training_first_deadline_s,T_target_C,t_plan_s,K_P,K_I,taper_K,hold_s,q_boost_min,ice_warn,delta_V,risk_warn,L_obs,rate_gain,ff_factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C
case2,4,6,6,True,80.2,94.6666666667,1,85,0.05,0.005,1,2,0.6,0.8,0.1,0.7,0.02,0.05,0,68.8615814328,73.2,73.2,378.584413257,1371.94115294,-1.79219642838,368.569639174,1380.16373059,-4.14956957684e-12,1.13925253779e-17,0.60741067354,0.0756347266962,8.94922245067,0.403366583844,9.35258903451,-5.35904519228,0.351422131822,0.0113168834831,0.641064551781,0,3.72123665215e-10,0.144042870827,11.6584744298,0.403366583844,0.614218555568,0.075389998807,0,375.442635601,1.1421527786e-17,0.60741067354,0.0756347266962,8.56402908694,12.96,1,4.33841856718,0,0,0,98.6666666667,True,sensor,0.2
case2,5,6,6,True,82.6,94.6666666667,1,85,0.05,0.005,1,2,0.6,0.8,0.1,0.7,0.02,0.05,0.5,71.4941959739,75.4,75.4,373.213633333,1441.84108022,-2.07362451031,383.455738459,1429.52535058,-1.25055521494e-12,1.60361632827e-17,0.60712599727,0.0773187915369,9.06371514145,0.436808343638,9.50052348509,-5.12641855202,0.348877541651,0.0113944223662,0.645202019531,0,9.72377733888e-10,0.15514801869,12.4482587922,0.436808343638,0.61469212665,0.0770801671368,0,373.206195449,1.60361632827e-17,0.60712599727,0.0773187915369,8.91037312403,13.62,1,3.90580402613,0,0,0,98.6666666667,True,sensor,0.2
case2,6,6,6,True,84.6,94.6666666667,1,85,0.05,0.005,1,2,0.6,0.8,0.1,0.7,0.02,0.05,1,73.0933810234,77,77,351.954626539,1493.13058641,-1.998211223,393.899023723,1449.187978,-1.04023456515e-11,2.3282699553e-17,0.60555476397,0.0844677670505,8.97435622057,0.454406732528,9.42876295309,-5.02167375584,0.346923245046,0.011452428124,0.650449183215,0,5.55338885988e-10,0.176435987998,12.928014307,0.454406732528,0.614425589293,0.0841947340324,0,351.954626539,2.3282699553e-17,0.60555476397,0.0844677670505,8.84796457558,14.1,1,3.9066189766,0,0,0,98.6666666667,True,sensor,0.2
case2,7,6,6,True,89.4,94.6666666667,1,95,0.05,0.005,1,2,0.6,0.8,0.1,0.7,0.02,0.05,0,74.3097002745,78.2,78.2,293.649517274,1533.79166142,-1.82447038223,394.078359927,1431.53834838,-1.98951966013e-12,2.71424592871e-17,0.605021876884,0.0887272508766,9.05233391579,0.432355728457,9.48468964424,-5.11413317752,0.343949836263,0.0115019791441,0.640960307178,0,3.72759600964e-10,0.124316374662,13.2929100823,0.432355728457,0.613810877765,0.0884562993519,0,293.649517274,2.71424592871e-17,0.605021876884,0.0887272508766,8.9546991526,14.46,1,3.89029972553,0,0,0,98.6666666667,True,sensor,0.2
case2,8,6,6,True,92.2,94.6666666667,1,95,0.05,0.005,1,2,0.6,0.8,0.1,0.7,0.02,0.05,0.5,74.6909518123,78.6,78.6,294.178585178,1546.40471933,-1.80705302139,397.757846899,1441.01840459,3.46744855051e-12,2.97396655913e-17,0.604448965185,0.0905608954626,9.0040734345,0.441988768581,9.44606220308,-5.06345722905,0.34367987963,0.0115159070104,0.644840957636,0,9.0805762909e-10,0.133739500018,13.4072855437,0.441988768581,0.613807476436,0.0902762803166,0,294.178585178,2.97396655913e-17,0.604448965185,0.0905608954626,8.90677693116,14.58,1,3.90904818773,0,0,0,98.6666666667,True,sensor,0.2
case2,9,6,6,True,95,94.6666666667,1,95,0.05,0.005,1,2,0.6,0.8,0.1,0.7,0.02,0.05,1,75.4575396895,79.4,79.4,283.088096659,1572.14829437,-1.71296711851,403.394736976,1450.12868694,6.87805368216e-12,3.33684902626e-17,0.603560593372,0.0955771712331,8.94633772426,0.448207677421,9.39454540168,-5.01299875794,0.342718969383,0.0115452489051,0.649817675693,0,5.11322539865e-10,0.159815651674,13.6372619069,0.448207677421,0.613551169661,0.095269812159,0,283.088096659,3.33684902626e-17,0.603560593372,0.0955771712331,8.84664652403,14.82,1,3.94246031046,0,0,0,98.6666666667,True,sensor,0.2
case2,10,6,6,True,95.6,94.6666666667,1,105,0.05,0.005,1,2,0.6,0.8,0.1,0.7,0.02,0.05,0,76.4458032131,80.4,80.4,239.407623317,1605.84473081,-1.61549962427,403.867053268,1439.76980123,-9.77706804406e-12,3.60822483003e-17,0.603122113968,0.0981602009608,8.99771414108,0.437952152191,9.43566629327,-5.06849457228,0.340359147672,0.0115868502,0.640879199555,0,3.73379549501e-10,0.109857117028,13.9337409639,0.437952152191,0.613161414943,0.0978511370501,0,239.407623317,3.60822483003e-17,0.603122113968,0.0981602009608,8.92328514816,15.12,1,3.95419678688,0,0,0,98.6666666667,True,sensor,0.2
case2,11,6,6,True,96.4,94.6666666667,1,105,0.05,0.005,1,2,0.6,0.8,0.1,0.7,0.02,0.05,0.5,76.5849737883,80.6,80.6,241.814485461,1612.11504883,-1.59664640526,406.187584095,1446.14530379,-1.25055521494e-11,3.45817124936e-17,0.602819328353,0.0994607104784,8.96768687181,0.447490716455,9.41517758826,-5.03543836886,0.340293850305,0.0115934663539,0.644548940135,0,8.5529983096e-10,0.117776043581,13.9754921365,0.447490716455,0.613161971857,0.0991356110171,0,241.814485461,3.47183219673e-17,0.602819328353,0.0994607104784,8.88774507327,15.18,1,4.01502621174,0,0,0,98.6666666667,True,sensor,0.2
case2,12,5,6,False,89.2,94.6666666667,1,105,0.05,0.005,1,2,0.6,0.8,0.1,0.7,0.02,0.05,1,77.0034532428,81,81,236.8458635,1625.00972041,-1.51154413277,409.489605211,1450.85443457,-1.43245415529e-11,3.46196595696e-17,0.60229059782,0.102896873311,8.92937876164,0.447066988999,9.37644575064,-5.00768039201,0.339841824716,0.0116081456872,0.649291101567,0,4.75449013493e-10,0.14779645544,14.1010359728,0.447066988999,0.612957551068,0.102562407969,0,236.8458635,3.5501658037e-17,0.60229059782,0.102896873311,8.84665687719,15.3,1,3.99654675722,0,0,0,98.6666666667,True,sensor,0.2
case3,0,0,6,False,-1,94.6666666667,0.733565812579,98.5720541876,0.216770586157,0.0351750487306,0.606984519683,2,0.6,0.8,0.1,0.7,0.02,0.20018032,1,95.363559258,98.4,98.4,1767.58390494,2258.35701301,10.1515992817,380.152797094,3655.93972013,1.64277480508e-11,5.26380154742e-19,0.568864079886,0.28268815294,7.48886300786,0.302193304353,7.57446636075,-9.61744613235,0.291440776233,0.0124606790348,0.508594709498,0,2.6809732212e-10,0.536753769053,19.6090677774,0.302193304353,0.590132770019,0.282017649564,0,1697.62692931,3.06693689542e-17,0.568864079886,0.28268815294,7.48886300786,20.52,1,3.03644074202,0,0,0,98.6666666667,True,sensor,0.2
case3,1,6,6,True,98.2,94.6666666667,1,96.6006131038,0.216770586157,0.0351750487306,0.606984519683,2,0.6,0.8,0.1,0.7,0.02,0.20018032,1,92.3757102489,95.4,95.4,1808.49048421,2156.28848468,9.4289187338,368.821466059,3605.38642157,3.68345354218e-11,1.20406072265e-17,0.570790806249,0.26522026591,7.38377889749,0.530962206685,7.62372630686,-9.90751072199,0.296769217657,0.0123155739293,0.508923443352,0,2.71624278625e-10,0.563421182157,18.7127130747,0.530962206685,0.592397689001,0.264265303201,0,1728.61167981,2.97483392087e-17,0.570790806249,0.26522026591,7.38377889749,19.62,1,3.02428975106,0,0,0,98.6666666667,True,sensor,0.2
case3,2,6,6,True,93.2,94.6666666667,2,96.6006131038,0.216770586157,0.0351750487306,0.606984519683,2,0.6,0.8,0.1,0.7,0.02,0.20018032,1,88.5384602308,91.6,91.6,1855.84330336,2027.24407642,8.55084722011,354.530860043,3537.10736696,3.7175595935e-11,2.91108283312e-17,0.573447821061,0.243302104708,7.23977370137,0.763224421531,7.67133558124,-10.285944953,0.303504062414,0.0121379673309,0.50935924819,0,2.76450640158e-10,0.59791061521,17.5615380692,0.763224421531,0.595030162461,0.242280968388,0,1765.53041793,3.13600057381e-17,0.573447821061,0.243302104708,7.23977370137,18.48,1,3.06153976918,0,0,0,98.6666666667,True,sensor,0.2
case3,3,6,6,True,87.2,94.6666666667,3.5,96.6006131038,0.216770586157,0.0351750487306,0.606984519683,2,0.6,0.8,0.1,0.7,0.02,0.20018032,1,83.3448731184,86.2,86.2,1900.02610855,1844.78218176,7.52999850072,333.582947418,3418.7553414,6.21867002337e-11,2.53594888144e-17,0.57741687712,0.214638470314,7.0258214921,0.756101716455,7.63235348299,-10.8787516365,0.31291470446,0.0119043872578,0.509967877064,0,2.83576995219e-10,0.636522996678,16.0034619355,0.756101716455,0.597566035296,0.213807060837,0,1810.35649743,2.53594888144e-17,0.57741687712,0.214638470314,7.0258214921,16.86,1,2.8551268816,0,0,0,98.6666666667,True,sensor,0.2
case3,4,6,6,True,96.6,94.6666666667,1,92.6577309363,0.216770586157,0.0351750487306,0.606984519683,2,0.6,0.8,0.1,0.7,0.02,0.20018032,1,88.6019775867,91.6,91.6,1847.529105,2027.33914997,8.58750628579,354.35832319,3529.09743807,3.20028448186e-11,2.59807366593e-17,0.573402201457,0.243658713332,7.24223738804,0.532729232808,7.65493963881,-10.2961199086,0.303458057594,0.0121440137022,0.509351854198,0,2.76369593877e-10,0.590500630608,17.580593276,0.532729232808,0.59444933731,0.242771478285,0,1764.95255835,3.0140278294e-17,0.573402201457,0.243658713332,7.24223738804,18.48,1,2.99802241326,0,0,0,98.6666666667,True,sensor,0.2
case3,5,6,6,True,88.8,94.6666666667,2,92.6577309363,0.216770586157,0.0351750487306,0.606984519683,2,0.6,0.8,0.1,0.7,0.02,0.20018032,1,84.9211549282,87.8,87.8,1886.08062946,1898.83509304,7.84110691918,339.701139213,3453.0556902,1.3869794202e-11,2.87730993545e-17,0.576163049352,0.223209907312,7.09327929202,0.748199288954,7.64232058757,-10.7054267717,0.310106050966,0.0119729225552,0.509781337838,0,2.81338008445e-10,0.624380669389,16.4763464785,0.748199288954,0.596784857792,0.222347074792,0,1797.37974961,2.8864172337e-17,0.576163049352,0.223209907312,7.09327929202,17.34,1,2.8788450718,0,0,0,98.6666666667,True,sensor,0.2
case3,6,6,6,True,84.2,94.6666666667,3.5,92.6577309363,0.216770586157,0.0351750487306,0.606984519683,2,0.6,0.8,0.1,0.7,0.02,0.20018032,1,79.9399648905,82.8,82.8,1930.13129081,1730.01880843,6.87207292305,320.713532416,3346.30863975,1.35287336889e-11,1.66129588385e-17,0.580286924689,0.196526324366,6.87192326817,0.789762882443,7.59918228629,-11.2460574678,0.318912482488,0.0117610212789,0.510362262906,0,2.88907009427e-10,0.663935921313,14.9819894671,0.789762882443,0.599235245987,0.19572983431,0,1836.48441538,1.66129588385e-17,0.580286924689,0.196526324366,6.87192326817,15.84,1,2.86003510952,0,0,0,98.6666666667,True,sensor,0.2
