case,strategy,initial_shift_K,G_factor,G_EP_factor,h_factor,seed,noise_T_K,noise_V_V,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C
case3,constant_hold,-1,1,1,1,6002,0.2,0.005,18.0771277547,20.6,20.6,2381.62345277,101.820135151,-0.860858974254,88.3601957273,2394.22253322,1.6615331333e-10,3.18687676075e-19,0.681625954554,0.0034971862019,20.9683646603,2.21664998811,23.1850146484,-19.2392253405,0.3916,0.0034338376487,0.500157156508,0,1.74189551672e-11,1,0.816956369648,2.21664998811,0.681625954554,0.0034616381541,0,2089.94715627,3.20042928791e-19,0.683397362768,0.0034971862019,18.5155361522,1.0609,1,2.52287224531,0.710170749655,2.09564756268e-05,0,98.6666666667,True,sensor,0.2
case3,constant_hold,-1,1,1,1,6003,0.2,0.005,18.0771277547,20.8,20.8,2404.74601056,103.812442278,-0.875070633488,89.6527185737,2418.03066363,1.67773350768e-10,3.18213337624e-19,0.68151324878,0.0034971862019,21.1537622097,2.38797067863,23.5417328883,-19.1765195576,0.3916,0.00346675134547,0.500157156508,0,1.76250125605e-11,1,0.816956369648,2.38797067863,0.68151324878,0.00345583519641,0,2089.94715627,3.20042928791e-19,0.683397362768,0.0034971862019,18.5155361522,1.0816,1,2.72287224531,0.60955969845,3.1145040374e-05,0,98.6666666667,True,sensor,0.2
case3,constant_hold,-1,1,1,1,6004,0.2,0.005,18.0771277547,20.6,20.6,2381.62345277,101.820135151,-0.860858974254,88.3601957273,2394.22253322,1.6615331333e-10,3.18687676075e-19,0.681625954554,0.0034971862019,20.9683646603,2.21664998811,23.1850146484,-19.2392253405,0.3916,0.0034338376487,0.500157156508,0,1.74189551672e-11,1,0.816956369648,2.21664998811,0.681625954554,0.0034616381541,0,2089.94715627,3.20042928791e-19,0.683397362768,0.0034971862019,18.5155361522,1.0609,1,2.52287224531,0.601561137441,3.16793139761e-05,0,98.6666666667,True,sensor,0.2
case3,constant_hold,-1,1,1,1,6005,0.2,0.005,18.0771277547,20.8,20.8,2404.74601056,103.812442278,-0.875070633488,89.6527185737,2418.03066363,1.67773350768e-10,3.18213337624e-19,0.68151324878,0.0034971862019,21.1537622097,2.38797067863,23.5417328883,-19.1765195576,0.3916,0.00346675134547,0.500157156508,0,1.76250125605e-11,1,0.816956369648,2.38797067863,0.68151324878,0.00345583519641,0,2089.94715627,3.20042928791e-19,0.683397362768,0.0034971862019,18.5155361522,1.0816,1,2.72287224531,0.622450553797,1.81560968444e-05,0,98.6666666667,True,sensor,0.2
case3,constant_hold,-1,1,1,1,6006,0.2,0.005,18.0771277547,20.4,20.4,2358.50089497,99.846873418,-0.846768239592,87.0745363765,2370.42646378,1.65243818628e-10,3.03441083024e-19,0.681742398274,0.0034971862019,20.7816501058,2.04471811522,22.826368221,-19.3015985504,0.3916,0.00340092474426,0.500157156508,0,1.72057923464e-11,1,0.816956369648,2.04471811522,0.681742398274,0.00346701514066,0,2089.94715627,3.16451509094e-19,0.683397362768,0.0034971862019,18.5155361522,1.0404,1,2.32287224531,0.592427167732,3.32444899589e-05,0,98.6666666667,True,sensor,0.2
case3,constant_hold,-1,1,1,1,6007,0.2,0.005,18.0771277547,20.6,20.6,2381.62345277,101.820135151,-0.860858974254,88.3601957273,2394.22253322,1.6615331333e-10,3.18687676075e-19,0.681625954554,0.0034971862019,20.9683646603,2.21664998811,23.1850146484,-19.2392253405,0.3916,0.0034338376487,0.500157156508,0,1.74189551672e-11,1,0.816956369648,2.21664998811,0.681625954554,0.0034616381541,0,2089.94715627,3.20042928791e-19,0.683397362768,0.0034971862019,18.5155361522,1.0609,1,2.52287224531,0.606713232287,3.8383520775e-05,0,98.6666666667,True,sensor,0.2
case3,constant_hold,-1,1,1,1,6008,0.2,0.005,18.0771277547,20.4,20.4,2358.50089497,99.846873418,-0.846768239592,87.0745363765,2370.42646378,1.65243818628e-10,3.03441083024e-19,0.681742398274,0.0034971862019,20.7816501058,2.04471811522,22.826368221,-19.3015985504,0.3916,0.00340092474426,0.500157156508,0,1.72057923464e-11,1,0.816956369648,2.04471811522,0.681742398274,0.00346701514066,0,2089.94715627,3.16451509094e-19,0.683397362768,0.0034971862019,18.5155361522,1.0404,1,2.32287224531,0.610568362726,1.19492939278e-05,0,98.6666666667,True,sensor,0.2
case3,constant_hold,-1,1,1,1,6009,0.2,0.005,18.0771277547,20.4,20.4,2358.50089497,99.846873418,-0.846768239592,87.0745363765,2370.42646378,1.65243818628e-10,3.03441083024e-19,0.681742398274,0.0034971862019,20.7816501058,2.04471811522,22.826368221,-19.3015985504,0.3916,0.00340092474426,0.500157156508,0,1.72057923464e-11,1,0.816956369648,2.04471811522,0.681742398274,0.00346701514066,0,2089.94715627,3.16451509094e-19,0.683397362768,0.0034971862019,18.5155361522,1.0404,1,2.32287224531,0.513449311731,3.00198679278e-05,0,98.6666666667,True,sensor,0.2
case3,constant_hold,0,1,1,1,6000,0.2,0.005,17.0368783891,19.6,19.6,2266.0106638,91.8546899395,-0.822596815682,85.7738994887,2271.26885743,1.45121248352e-10,3.37728976729e-19,0.684722879296,0.00281760782854,20.0454853689,2.29499038394,22.3404757528,-18.557802433,0.3916,0.00326325837304,0.510362262906,0,1.6292744931e-11,1,0.725638063114,2.29499038394,0.684722879296,0.00278746624725,0,1969.6810259,3.37728976729e-19,0.686835744721,0.00281760782854,17.4686355894,0.9604,1,2.56312161088,0.638939349193,3.42651670096e-05,0,98.6666666667,True,sensor,0.2
case3,constant_hold,0,1,1,1,6001,0.2,0.005,17.0368783891,19.4,19.4,2242.888106,89.9825341991,-0.808890786744,84.4851585086,2247.57659091,1.44169121086e-10,3.22279095771e-19,0.684860638151,0.00281760782854,19.8523300948,2.1200792275,21.9724093223,-18.6183212226,0.3916,0.00323040539459,0.510362262906,0,1.60760293966e-11,1,0.725638063114,2.1200792275,0.684860638151,0.0027919527328,0,1969.6810259,3.22279095771e-19,0.686835744721,0.00281760782854,17.4686355894,0.9409,1,2.36312161088,0.581776328537,1.32392717526e-05,0,98.6666666667,True,sensor,0.2
