case,seed,noise_T_K,noise_V_V,initial_shift_K,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,feasible
case1,1000,0.2,0.005,1,95.7445426583,-1,96.6666666667,2683.95961085,2238.50338852,16.3653757719,305.884619652,4632.9437555,4.51848336525e-10,3.08563938289e-18,0.552112428205,0.335933149124,6.72864767643,0.0425424067329,6.53652885612,-13.0018759435,0.279789222189,0.0125007044545,0.442415567887,0,4.81680473285e-10,0.917265787807,19.7233627975,-29,1.26669150025,0,0,2651.91489142,1.44339835223e-17,False
case1,1001,0.2,0.005,1,94.7723823011,-1,96.6666666667,2676.83971641,2238.64203819,16.4122924547,305.825243537,4626.06880351,4.40536496171e-10,3.3415110956e-18,0.552260547289,0.336168524254,6.91900201827,-0.205720064507,6.53055114916,-13.006692429,0.279803077959,0.0125060824266,0.442419285852,0,4.09472707477e-11,0.917809889866,19.4317146903,-29,1.26669150025,0,0,2616.7927815,1.44540412625e-17,False
case1,1002,0.2,0.005,1,94.7669039905,-1,96.6666666667,2679.27136335,2238.90683612,16.4218019954,305.83533054,4628.76467092,4.04554612032e-10,4.42408696483e-18,0.552113271907,0.336577452986,6.91792482332,-0.243735343313,6.56020513324,-13.0176600337,0.279734038518,0.0125079723516,0.442417515673,0,5.19299464541e-11,0.911086388042,19.4300711972,-29,1.26669150025,0,0,2618.3435863,1.43792313126e-17,False
case1,1003,0.2,0.005,1,95.2790683568,-1,96.6666666667,2682.49858133,2238.26888264,16.3794563746,305.974119157,4631.17280118,3.89661636291e-10,3.94703800893e-18,0.552764414092,0.33623673225,6.83769641071,-0.0238431554147,6.51690947104,-13.0076600224,0.279843976585,0.0125015209762,0.442415955122,0,4.09734468576e-11,0.908596220665,19.583720507,-29,1.26669150025,0,0,2635.73073659,1.40181919892e-17,False
case1,1004,0.2,0.005,1,94.8879600704,-1,96.6666666667,2677.20877527,2238.60650065,16.4038407761,305.759471218,4626.45964548,3.94720700569e-10,4.49293380278e-18,0.552087774444,0.336889661483,6.84661841672,-0.298382946779,6.51894350104,-12.9952476184,0.279784119903,0.0125078446165,0.442417401295,0,5.47977663246e-10,0.919440163056,19.4663880211,-29,1.26669150025,0,0,2619.65161427,1.44589201723e-17,False
case1,1005,0.2,0.005,1,94.3924406588,-1,96.6666666667,2682.91338459,2238.62456874,16.3721352358,305.861262089,4632.04882648,4.3661430027e-10,4.07117915768e-18,0.552768627045,0.336109181568,6.99843551187,-0.0848615984131,6.57083826266,-13.0052262109,0.279823826946,0.0125029379729,0.44241933029,0,9.23122911445e-10,0.918516268744,19.3177321976,-29,1.26669150025,0,0,2604.39217344,1.39032665589e-17,False
case1,1006,0.2,0.005,1,95.2584814489,-1,96.6666666667,2683.27058401,2238.85374022,16.3900717352,305.923752576,4632.59064339,3.92788024328e-10,4.29235640087e-18,0.552980839273,0.335990507986,6.83781298885,-0.159026508734,6.5928011918,-12.9848564377,0.279817307543,0.0125045318984,0.442417591405,0,8.3634787984e-10,0.896403121748,19.5775444347,-29,1.26669150025,0,0,2636.89294922,1.43971206484e-17,False
case1,1007,0.2,0.005,1,94.7693825543,-1,96.6666666667,2681.11778686,2238.71128861,16.4219840911,305.7642175,4630.48684206,3.6726532926e-10,4.14707330976e-18,0.551881376763,0.336749549121,6.97283262809,-0.029333739688,6.51224450027,-13.0189404447,0.279738550196,0.0125036945871,0.442435445386,0,4.08233447047e-11,0.926645399385,19.4308147663,-29,1.26669150025,0,0,2613.33837548,1.38631510785e-17,False
case1,1008,0.2,0.005,1,95.481971395,-1,96.6666666667,2673.79606209,2238.69535038,16.4437457904,305.691383175,4623.24377509,4.38376446255e-10,2.73489998009e-18,0.552296403275,0.337017541417,6.80482719004,-0.311479318675,6.49334787136,-13.0048985761,0.27974038443,0.012508487226,0.442414163885,0,4.94886354119e-11,0.904300046415,19.6445914185,-29,1.26669150025,0,0,2640.03650165,1.35780059071e-17,False
case1,1009,0.2,0.005,1,95.3026609361,-1,96.6666666667,2680.45916168,2238.87854488,16.4219881108,305.771085623,4629.98860905,4.24506652053e-10,4.90438852724e-18,0.552208349895,0.336327823678,6.77142847391,-0.0572525169016,6.51580121213,-13.0098794769,0.279725556288,0.0125029079703,0.442418201311,0,3.88297394238e-10,0.898626645559,19.5907982808,-29,1.26669150025,0,0,2634.52461054,1.45798087145e-17,False
case2,1000,0.2,0.005,-1,93.3631731808,95.3631731808,95.3631731808,0,2103.89246832,0.51516645175,458.337187332,1646.07044744,-1.3073986338e-11,9.3482079716e-17,0.591993894145,0.169079857817,8.77936751658,0.196177536425,8.89177042168,-5.17383709886,0.313293585126,0.0122200228276,0.625060585585,0,9.29919252712e-10,0,19.0089519542,0.196177536425,0.605968490158,0.168959852141,0,0,9.36468784463e-17,True
case2,1001,0.2,0.005,-1,93.3631731808,95.3631731808,95.3631731808,0,2103.89246832,0.51516645175,458.337187332,1646.07044744,-1.3073986338e-11,9.3482079716e-17,0.591993894145,0.169079857817,8.77936751658,0.196177536425,8.89177042168,-5.17383709886,0.313293585126,0.0122200228276,0.625060585585,0,9.29919252712e-10,0,19.0089519542,0.196177536425,0.605968490158,0.168959852141,0,0,9.36468784463e-17,True
case2,1002,0.2,0.005,-1,93.3631731808,95.3631731808,95.3631731808,0,2103.89246832,0.51516645175,458.337187332,1646.07044744,-1.3073986338e-11,9.3482079716e-17,0.591993894145,0.169079857817,8.77936751658,0.196177536425,8.89177042168,-5.17383709886,0.313293585126,0.0122200228276,0.625060585585,0,9.29919252712e-10,0,19.0089519542,0.196177536425,0.605968490158,0.168959852141,0,0,9.36468784463e-17,True
case2,1003,0.2,0.005,-1,93.3631731808,95.3631731808,95.3631731808,0,2103.89246832,0.51516645175,458.337187332,1646.07044744,-1.3073986338e-11,9.3482079716e-17,0.591993894145,0.169079857817,8.77936751658,0.196177536425,8.89177042168,-5.17383709886,0.313293585126,0.0122200228276,0.625060585585,0,9.29919252712e-10,0,19.0089519542,0.196177536425,0.605968490158,0.168959852141,0,0,9.36468784463e-17,True
case2,1004,0.2,0.005,-1,93.3631731808,95.3631731808,95.3631731808,0,2103.89246832,0.51516645175,458.337187332,1646.07044744,-1.3073986338e-11,9.3482079716e-17,0.591993894145,0.169079857817,8.77936751658,0.196177536425,8.89177042168,-5.17383709886,0.313293585126,0.0122200228276,0.625060585585,0,9.29919252712e-10,0,19.0089519542,0.196177536425,0.605968490158,0.168959852141,0,0,9.36468784463e-17,True
case2,1005,0.2,0.005,-1,93.3631731808,95.3631731808,95.3631731808,0,2103.89246832,0.51516645175,458.337187332,1646.07044744,-1.3073986338e-11,9.3482079716e-17,0.591993894145,0.169079857817,8.77936751658,0.196177536425,8.89177042168,-5.17383709886,0.313293585126,0.0122200228276,0.625060585585,0,9.29919252712e-10,0,19.0089519542,0.196177536425,0.605968490158,0.168959852141,0,0,9.36468784463e-17,True
case2,1006,0.2,0.005,-1,93.3631731808,95.3631731808,95.3631731808,0,2103.89246832,0.51516645175,458.337187332,1646.07044744,-1.3073986338e-11,9.3482079716e-17,0.591993894145,0.169079857817,8.77936751658,0.196177536425,8.89177042168,-5.17383709886,0.313293585126,0.0122200228276,0.625060585585,0,9.29919252712e-10,0,19.0089519542,0.196177536425,0.605968490158,0.168959852141,0,0,9.36468784463e-17,True
case2,1007,0.2,0.005,-1,93.3631731808,95.3631731808,95.3631731808,0,2103.89246832,0.51516645175,458.337187332,1646.07044744,-1.3073986338e-11,9.3482079716e-17,0.591993894145,0.169079857817,8.77936751658,0.196177536425,8.89177042168,-5.17383709886,0.313293585126,0.0122200228276,0.625060585585,0,9.29919252712e-10,0,19.0089519542,0.196177536425,0.605968490158,0.168959852141,0,0,9.36468784463e-17,True
case2,1008,0.2,0.005,-1,93.3631731808,95.3631731808,95.3631731808,0,2103.89246832,0.51516645175,458.337187332,1646.07044744,-1.3073986338e-11,9.3482079716e-17,0.591993894145,0.169079857817,8.77936751658,0.196177536425,8.89177042168,-5.17383709886,0.313293585126,0.0122200228276,0.625060585585,0,9.29919252712e-10,0,19.0089519542,0.196177536425,0.605968490158,0.168959852141,0,0,9.36468784463e-17,True
