case,candidate,stage,seed,noise_T_K,noise_V_V,initial_shift_K,G_factor,G_EP_factor,h_factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C
case3,11,training,2002,0.2,0.005,1,0.8,1,0.8,75.9666667461,78.4,78.4,1796.18732911,1576.30978475,4.99709639529,249.060846313,3128.43336393,4.07851530326e-11,1.0038085814e-17,0.585647375151,0.169657024444,8.32001456805,0.642693809651,8.96270837771,-11.2427957117,0.327941027946,0.011578823921,0.520692133952,0,3.06891401181e-10,0.649664590725,13.7900000238,0.642693809651,0.601568645738,0.169193900333,0,1720.99254491,1.0038085814e-17,0.585647375151,0.169657024444,8.23405054436,14.52,1,2.43333325386,0.77235471397,0.000570727288166,0,98.6666666667,True,sensor,0.2
case3,11,training,2003,0.2,0.005,-1,1,1,1,76.3845871568,80.2,80.2,2131.17468958,1643.9319332,6.46903494797,306.271309969,3475.30434776,-1.75077730091e-11,9.31194140893e-18,0.58186792683,0.184003119991,6.57174645714,1.1808921608,7.69783026543,-11.9051672602,0.32261323436,0.0116498702742,0.500157156508,0,3.04115954641e-10,0.784851941684,13.915376147,1.1808921608,0.601063309122,0.182531413863,0,1988.18522837,9.31194140893e-18,0.58186792683,0.184003119991,6.56005965282,15.06,1,3.81541284323,0.667057406852,0.000479378523114,0,98.6666666667,True,sensor,0.2
case3,11,training,2004,0.2,0.005,0,1.2,1,1.2,76.1405774236,79.6,79.6,2031.99383556,1622.18402746,6.35275260153,372.964274494,3287.56634113,3.00133251585e-11,8.34320676782e-18,0.584041748112,0.175988077824,5.76194022122,1.02220480474,6.70524332067,-11.488718206,0.325035452983,0.0116217740848,0.510362262906,0,2.7861191132e-10,0.735500062342,13.8421732271,1.02220480474,0.601838282578,0.17474145756,0,1909.53644416,8.34320676782e-18,0.584041748112,0.175988077824,5.76194022122,14.88,1,3.45942257643,0.69232183398,0.000458147465352,0,98.6666666667,True,sensor,0.2
case3,11,training,2005,0.2,0.005,1,1,0.8,1,75.7533256412,78.8,78.8,1573.06432091,1590.76498067,5.31565468964,314.620650559,2854.5243057,3.06954461848e-12,8.85982910301e-18,0.585782649462,0.168243654221,6.92082898501,0.793586335822,7.71128396393,-12.5163670295,0.327678676209,0.011588485271,0.520692133952,0,2.82820877828e-10,0.558197456725,13.7259976923,0.793586335822,0.602299449934,0.167507876241,0,1492.37619124,8.85982910301e-18,0.585782649462,0.168243654221,6.87107176096,14.64,1,3.04667435885,1.39006123134,0.000611307552434,0,98.6666666667,True,sensor,0.2
case3,12,training,2000,0.2,0.005,-1,1,1.2,1.2,72.0942255259,75,75,2429.11237853,1470.11670768,5.99760913056,340.873958278,3564.35273706,6.00834937359e-11,3.17102030398e-18,0.586349351372,0.16291314909,6.29494108396,0.919607305027,7.21454838899,-11.3526435532,0.331198403806,0.0114519597561,0.500157156508,0,3.13761017168e-10,0.924221658638,12.6282676578,0.919607305027,0.601861547455,0.162106218918,0,2299.66487065,5.93844634925e-18,0.586349351372,0.16291314909,6.23282086239,13.5,1,2.90577447415,1.27586345281,0.000889414567314,0,98.6666666667,True,sensor,0.2
case3,12,training,2001,0.2,0.005,0,1,1.2,1,71.4395110607,75.2,75.2,2271.57159488,1472.9545151,5.17284007362,293.710437038,3455.98851301,1.22213350551e-11,2.2836008258e-18,0.588086953475,0.155253150205,6.36647041504,1.18518724033,7.55165765537,-10.7333464939,0.332667243623,0.0114445735651,0.510362262906,0,3.01360714161e-10,0.854804086335,12.4318533182,1.18518724033,0.603818120328,0.154006572787,0,2116.05957464,6.27617532598e-18,0.588086953475,0.155253150205,6.30452573449,13.56,1,3.76048893929,1.25356193131,0.00050214320119,0,98.6666666667,True,sensor,0.2
case3,12,training,2002,0.2,0.005,1,0.8,1,0.8,71.304346633,74.6,74.6,1860.27828613,1448.56448722,4.20321452292,238.778213361,3074.26777452,2.03215222427e-11,2.81133623325e-18,0.590205396897,0.147694940524,7.87301790775,0.976797364536,8.84981527229,-11.5432499397,0.335016764804,0.0114194189719,0.520692133952,0,3.1524916011e-10,0.703549109353,12.3913039899,0.976797364536,0.60439726164,0.146748294871,0,1750.39106318,6.35830364054e-18,0.590205396897,0.147694940524,7.71109782204,13.38,1,3.29565336704,0.772303005376,0.000444237792026,0,98.6666666667,True,sensor,0.2
case3,12,training,2003,0.2,0.005,-1,1,1,1,72.0941594839,75.2,75.2,2131.9953175,1476.32890919,5.88348678919,286.051929866,3328.15578361,-1.52908796736e-11,2.80293366642e-18,0.586433042984,0.162162518159,6.27977363099,1.02441621141,7.3041898424,-12.5831844662,0.331087203158,0.0114562549813,0.500157156508,0,3.12446513107e-10,0.815952198884,12.6282478452,1.02441621141,0.602242668965,0.16117549599,0,2010.20099031,6.05201652681e-18,0.586433042984,0.162162518159,6.2598920643,13.56,1,3.10584051609,0.667057407347,0.00048993789254,0,98.6666666667,True,sensor,0.2
case3,12,training,2004,0.2,0.005,0,1.2,1,1.2,71.5995819211,75.4,75.4,2074.13642914,1480.39596368,5.4288849992,354.606103673,3205.35517415,5.12727638124e-11,2.46357838643e-18,0.588593399187,0.154143687643,5.54987972542,1.16585821143,6.70628889314,-11.9215392374,0.332587801671,0.0114509501015,0.510362262906,0,2.8764191029e-10,0.794099325402,12.4798745763,1.16585821143,0.604059603152,0.152879131261,0,1932.5100755,6.43148728718e-18,0.588593399187,0.154143687643,5.52903403145,13.62,1,3.8004180789,0.69279497309,0.000463030454064,0,98.6666666667,True,sensor,0.2
case3,12,training,2005,0.2,0.005,1,1,0.8,1,71.0453336835,74.2,74.2,1619.12597533,1436.71641436,4.60433239966,296.824185112,2763.62253698,2.37605490838e-11,3.13036272251e-18,0.590360789856,0.146350645206,6.59679594748,0.921992271347,7.51878821883,-12.9719051046,0.33568215275,0.0114054855444,0.520692133952,0,2.91895840832e-10,0.605615009753,12.313600105,0.921992271347,0.604320644169,0.145555024385,0,1529.66665329,6.47268696974e-18,0.590360789856,0.146350645206,6.51080550787,13.26,1,3.15466631651,1.35849886467,0.000665415420559,0,98.6666666667,True,sensor,0.2
