case,parameter,factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C
case1,K_I,0.8,95.6718866229,98.4,98.4,2855.40466758,2305.65114175,17.2586797175,303.885816445,4874.4286726,3.54589246854e-10,4.8230733643e-18,0.550512180875,0.348858393323,6.65196780642,0.216181794791,6.74864358837,-13.0606887711,0.275185471061,0.0125931735531,0.432399421336,0,9.14454290069e-10,0.914177252942,19.7015659869,0.216181794791,0.577325831289,0.348176240415,0,2749.37825571,1.47294286143e-17,0.550512180875,0.348858393323,6.65196780642,20.52,1,2.72811337709,0,0,0,98.6666666667,True,sensor,0.2
case1,K_I,1.2,95.6669264197,98.4,98.4,2855.42718103,2305.65570563,17.2586486866,303.877318471,4874.46421687,3.14287262881e-10,7.18500779706e-18,0.55050947951,0.348856975592,6.65187859441,0.217269491616,6.74925058586,-13.0607167383,0.275184546525,0.0125931526235,0.432376387107,0,9.12748987503e-10,0.914447477117,19.7000779259,0.217269491616,0.577328793837,0.348172131809,0,2749.17607964,1.48183331924e-17,0.55050947951,0.348856975592,6.65187859441,20.52,1,2.73307358027,0,0,0,98.6666666667,True,sensor,0.2
case1,ice_warn,0.8,95.6692941904,98.4,98.4,2855.408349,2305.65427423,17.258784163,303.880556632,4874.44085076,2.84273937723e-10,5.00250882385e-18,0.550510620303,0.348858819881,6.65193783244,0.216731721228,6.74893703871,-13.0607313049,0.275184783326,0.0125931649745,0.432387824316,0,9.13594533358e-10,0.914325588895,19.7007882571,0.216731721228,0.577327138754,0.348175273701,0,2749.26452906,1.54141022862e-17,0.550510620303,0.348858819881,6.65193783244,20.52,1,2.73070580959,0,0,0,98.6666666667,True,sensor,0.2
case1,ice_warn,1.2,95.6692941904,98.4,98.4,2855.408349,2305.65427423,17.258784163,303.880556632,4874.44085076,2.84273937723e-10,5.00250882385e-18,0.550510620303,0.348858819881,6.65193783244,0.216731721228,6.74893703871,-13.0607313049,0.275184783326,0.0125931649745,0.432387824316,0,9.13594533358e-10,0.914325588895,19.7007882571,0.216731721228,0.577327138754,0.348175273701,0,2749.26452906,1.54141022862e-17,0.550510620303,0.348858819881,6.65193783244,20.52,1,2.73070580959,0,0,0,98.6666666667,True,sensor,0.2
case1,delta_V,0.8,95.6692941904,98.4,98.4,2855.408349,2305.65427423,17.258784163,303.880556632,4874.44085076,2.84273937723e-10,5.00250882385e-18,0.550510620303,0.348858819881,6.65193783244,0.216731721228,6.74893703871,-13.0607313049,0.275184783326,0.0125931649745,0.432387824316,0,9.13594533358e-10,0.914325588895,19.7007882571,0.216731721228,0.577327138754,0.348175273701,0,2749.26452906,1.54141022862e-17,0.550510620303,0.348858819881,6.65193783244,20.52,1,2.73070580959,0,0,0,98.6666666667,True,sensor,0.2
case1,delta_V,1.2,95.6692941904,98.4,98.4,2855.408349,2305.65427423,17.258784163,303.880556632,4874.44085076,2.84273937723e-10,5.00250882385e-18,0.550510620303,0.348858819881,6.65193783244,0.216731721228,6.74893703871,-13.0607313049,0.275184783326,0.0125931649745,0.432387824316,0,9.13594533358e-10,0.914325588895,19.7007882571,0.216731721228,0.577327138754,0.348175273701,0,2749.26452906,1.54141022862e-17,0.550510620303,0.348858819881,6.65193783244,20.52,1,2.73070580959,0,0,0,98.6666666667,True,sensor,0.2
case2,G,0.8,87.0123029768,91.2,91.2,0,1958.93181723,-1.06326077317,447.141938375,1510.72661809,7.31574800739e-11,7.72163366233e-17,0.595526267336,0.143087869711,10.8304548361,0.434046229694,11.2642168016,-4.88968405342,0.321414636103,0.0120287019264,0.636517708273,0,9.86169368389e-10,0,17.1036908931,0.434046229694,0.609238356359,0.142613470013,0,0,7.72163366233e-17,0.595526267336,0.143087869711,10.81190702,18.36,1,4.18769702315,0.0341486655857,0.000442207504535,0,98.6666666667,True,sensor,0.2
case2,G,1.2,83.1427335382,87.2,87.2,0,1835.48583186,-0.30047021195,427.461004816,1407.72435683,-4.88853402203e-11,3.24929970083e-17,0.597170651985,0.12995326057,7.45444680482,0.420732329274,7.86563586234,-5.07657704754,0.327625886606,0.0118639805049,0.636998822927,0,9.61557944379e-10,0,15.9428200614,0.420732329274,0.610063886404,0.129547939487,0,0,3.24929970083e-17,0.597170651985,0.12995326057,7.4533808056,17.16,1,4.05726646185,0.0232661482536,0.000278321300336,0,98.6666666667,True,sensor,0.2
case2,G_EP,0.8,76.7833801925,80.6,80.6,0,1619.76633422,-0.326452373159,391.268589678,1228.17129216,3.66640051652e-11,8.43997181171e-18,0.598752248675,0.116302374715,8.61872351053,0.467370350556,9.08609386109,-6.11219704833,0.337049236779,0.0116053989425,0.636543374333,0,9.60103108127e-10,0,14.0350140578,0.467370350556,0.610433228026,0.115921712391,0,0,1.5588658836e-17,0.598752248675,0.116302374715,8.48904730484,15.18,1,3.81661980748,0.56636508423,0.000261221643927,0,98.6666666667,True,sensor,0.2
case2,G_EP,1.2,91.2766046524,95.4,95.4,0,2098.7135186,-0.693364315082,469.950051277,1628.07010301,-1.62572177942e-10,1.04796271487e-16,0.594708806095,0.15408616155,8.89762282862,0.406756719346,9.17700062297,-4.08717558357,0.315281136778,0.012206808876,0.636983114535,0,9.87139259223e-10,0,18.3829813957,0.406756719346,0.60859918237,0.153615851954,0,0,1.04796271487e-16,0.594708806095,0.15408616155,8.89762282862,19.62,1,4.1233953476,0.544647072061,0.000276256900526,0,98.6666666667,True,sensor,0.2
case2,h,0.8,80.2210344553,84.2,84.2,0,1735.07004616,-0.680077356734,330.184351888,1404.20561691,7.88418219599e-11,1.80671450023e-17,0.598235810431,0.122079383545,8.78023714646,0.452739733455,9.23297687992,-5.23250372011,0.332300142248,0.0117429682698,0.638235423835,0,9.83943593269e-10,0,15.0663103366,0.452739733455,0.610551120517,0.121677404957,0,0,1.80671450023e-17,0.598235810431,0.122079383545,8.72654728306,16.26,1,3.9789655447,0.0102620006693,0.000133520118599,0,98.6666666667,True,sensor,0.2
case2,h,1.2,89.7363421798,94,94,0,2054.12569062,-0.642180050789,553.286698402,1500.19681216,1.33923094836e-10,8.98559655502e-17,0.594752289764,0.150229219036,8.87327575899,0.404697334003,9.22132453153,-4.73911353111,0.317022397498,0.0121482679989,0.635307921246,0,9.58612744739e-10,0,17.9209026539,0.404697334003,0.608737752819,0.149756477932,0,0,8.98559655502e-17,0.594752289764,0.150229219036,8.87327575899,19.2,1,4.26365782022,0.010224530473,0.000169420226581,0,98.6666666667,True,sensor,0.2
case2,T_target,0.8,84.7245963216,88.8,88.8,0,1884.83525926,-0.658759870069,435.267847879,1448.90865152,1.06922470877e-10,5.0952623197e-17,0.59647254395,0.135272828288,8.83425937547,0.42266791534,9.25230113271,-5.00403355691,0.325131886787,0.0119293700523,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.42266791534,0.609721748167,0.134847430757,0,0,5.0952623197e-17,0.59647254395,0.135272828288,8.82917371192,17.64,1,4.07540367842,0,0,0,98.6666666667,True,sensor,0.2
case2,T_target,1.2,84.7245963216,88.8,88.8,0,1884.83525926,-0.658759870069,435.267847879,1448.90865152,1.06922470877e-10,5.0952623197e-17,0.59647254395,0.135272828288,8.83425937547,0.42266791534,9.25230113271,-5.00403355691,0.325131886787,0.0119293700523,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.42266791534,0.609721748167,0.134847430757,0,0,5.0952623197e-17,0.59647254395,0.135272828288,8.82917371192,17.64,1,4.07540367842,0,0,0,98.6666666667,True,sensor,0.2
case2,K_P,0.8,84.7245963216,88.8,88.8,0,1884.83525926,-0.658759870069,435.267847879,1448.90865152,1.06922470877e-10,5.0952623197e-17,0.59647254395,0.135272828288,8.83425937547,0.42266791534,9.25230113271,-5.00403355691,0.325131886787,0.0119293700523,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.42266791534,0.609721748167,0.134847430757,0,0,5.0952623197e-17,0.59647254395,0.135272828288,8.82917371192,17.64,1,4.07540367842,0,0,0,98.6666666667,True,sensor,0.2
