case,stage,evaluation_dt_s,evaluation_scale,J,T_target_C,t_plan_s,K_P,K_I,taper_K,hold_s,q_boost_min,ice_warn,delta_V,risk_warn,L_obs,rate_gain,ff_factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C,selected
case1,DE_seed_260927,0.1,1,0.992733302804,4.9316839365,55.4995327096,0.345134140885,0.0149784508358,1.7419950983,2,0.6,0.8,0.1,0.7,0.02,0.188021367823,1,60.0726969004,63,63,3236.58917669,1064.85277348,2.93028843498,221.240965544,4083.13127305,9.37916411203e-13,-1.68322387278e-19,0.602268144921,0.105459101455,7.21584455519,0.846334375737,8.06217893093,-17.2563171049,0.350650679608,0.0110082994259,0.433085516812,0,9.96340787651e-10,1,9.02180907011,0.846334375737,0.605574293029,0.104992702967,0,3090.2240217,2.8568727245e-19,0.602268144921,0.105459101455,7.09580218181,9.9,1,2.92730309963,0,0,0,98.6666666667,True,sensor,0.2,
case1,DE_seed_260927,0.1,1,10.7459371946,2.30939548282,127.518736601,0.281471293899,0.0455896794789,1.88042497953,2,0.6,0.8,0.1,0.7,0.02,0.268304213175,1,-1,-1,98.6666666667,1890.23649096,2352.47468429,32.5912764054,247.280949015,4028.02150264,3.09796632791e-12,1.5997403055e-18,0.53589277186,0.460352676298,7.57486833226,-4.98479887084,1.60563604346,-16.1221530961,0.260544343905,0.0128930672598,0.431889161084,0,9.99716198713e-10,0.616710598775,-1,,,,,,1.5997403055e-18,,,,-1,0,0,0,0,0,98.6666666667,False,sensor,0.2,
case1,DE_seed_260927,0.1,1,10.7886256602,1.00109055659,112.289238908,0.399660669652,0.0307186762005,1.05003555572,2,0.6,0.8,0.1,0.7,0.02,0.181722691445,1,-1,-1,98.6666666667,2272.89706896,2337.13721536,27.0151275201,269.447238393,4367.60217345,1.60298441187e-11,3.30464822174e-18,0.54187435885,0.417894517914,7.21443769112,-2.74433960357,3.57150820933,-14.9024642097,0.267068003741,0.0127636605594,0.432653972354,0,9.98685578679e-10,0.740926295053,-1,,,,,,3.30464822174e-18,,,,-1,0,0,0,0,0,98.6666666667,False,sensor,0.2,
case1,DE_seed_260927,0.1,1,1.02022963003,2.42009018738,43.3788734701,0.413628821933,0.0563119250129,1.12212031279,2,0.6,0.8,0.1,0.7,0.02,0.0645377812077,1,57.4318887949,60.2,60.2,3326.23492024,965.084886901,1.09938198145,222.217864972,4070.20132415,-9.15179043659e-12,-1.24683249836e-20,0.607848207961,0.084261052539,6.83263320645,0.809873400899,7.64250660735,-17.2702580723,0.357804506898,0.0108988270515,0.433085516812,0,9.96430937761e-10,1,8.24605462637,0.809873400899,0.608067183609,0.0839307071008,0,3187.82935999,1.51788304148e-19,0.608158037496,0.084261052539,6.70505381597,9.06,1,2.7681112051,0,0,0,98.6666666667,True,sensor,0.2,
case1,DE_seed_260927,0.1,1,1.06767515562,3.86674691916,25.38725547,0.464354356358,0.0362134792368,1.19502452201,2,0.6,0.8,0.1,0.7,0.02,0.0979715143715,1,49.0005173206,52,52,3480.92064923,702.248477425,-1.40893365245,214.274722511,3967.48547049,2.27373675443e-11,1.00559751498e-19,0.622150927004,0.0433119907529,10.5466774821,0.756046927413,7.57580587591,-17.7659994619,0.373903739004,0.0091978225366,0.433085516812,0,9.99032634397e-10,1,6.00262674422,0.756046927413,0.622150927004,0.0431402889682,0,3330.94651526,1.34983170474e-19,0.623335149942,0.0433119907529,10.5466774821,6.76,1,2.99948267937,0,0,0,98.6666666667,True,sensor,0.2,
case1,DE_seed_260927,0.1,1,0.95821468241,4.50944807075,75.2527555908,0.333701817386,0.00144332832035,1.81422882226,2,0.6,0.8,0.1,0.7,0.02,0.033721531163,1,71.7478108406,74.6,74.6,3124.04878659,1468.38714717,7.75307561731,247.777082121,4352.41192725,2.6346924642e-11,2.05564731903e-18,0.584374825367,0.167859294778,6.17547753987,0.83292844485,7.00840598472,-15.7965759563,0.327021284428,0.0114609380629,0.433085516812,0,9.95289184402e-10,1,12.5243432522,0.83292844485,0.599524908833,0.167154683802,0,2981.43932862,2.05564731903e-18,0.584374825367,0.167859294778,5.98379386033,13.38,1,2.85218915939,0,0,0,98.6666666667,True,sensor,0.2,
case1,DE_seed_260927,0.1,1,10.6718463132,0.824778791611,143.552434986,0.145054026363,0.0558209756493,0.286794292649,2,0.6,0.8,0.1,0.7,0.02,0.04778399995,1,-1,-1,98.6666666667,1234.19509495,2378.62954215,40.8580162261,209.573725379,3444.10892795,-4.46220838057e-11,-1.27041389561e-18,0.520540720963,0.525984213459,8.19552057145,-8.79874350007,-1.69358433929,-18.2337822234,0.2477501815,0.0131442850722,0.429922041179,0,9.99111016142e-10,0.396547924217,-1,,,,,,1.44225993995e-18,,,,-1,0,0,0,0,0,98.6666666667,False,sensor,0.2,
case1,DE_seed_260927,0.1,1,10.7601079934,1.15953035044,119.449305728,0.0792074730628,0.0656257330089,0.445402885863,2,0.6,0.8,0.1,0.7,0.02,0.349809105272,1,-1,-1,98.6666666667,2016.72713749,2347.4108,30.7714840433,254.584327517,4140.32509401,1.05728759081e-11,2.13316777437e-18,0.537837705788,0.446774007636,7.45188088843,-4.24599868139,2.25242661952,-15.7180640601,0.262770326315,0.0128491745735,0.432543237515,0,9.97960825089e-10,0.65823880721,-1,,,,,,2.13316777437e-18,,,,-1,0,0,0,0,0,98.6666666667,False,sensor,0.2,
case1,DE_seed_260927,0.1,1,0.954977334598,2.65983407215,72.943529674,0.238626715758,0.0783935562315,0.657905678195,2,0.6,0.8,0.1,0.7,0.02,0.303908342642,1,72.4510698557,75.4,75.4,3113.49412416,1496.55913811,8.08691919495,248.976845214,4369.16333626,2.10320649785e-12,2.14021508849e-18,0.583059674744,0.17322372603,6.1859156122,0.859396249503,7.04531186171,-15.7195493381,0.325156349133,0.0114942964037,0.433085516812,0,9.91933646333e-10,1,12.7353209567,0.859396249503,0.598998141748,0.172447260476,0,2966.04761695,2.14021508849e-18,0.583059674744,0.17322372603,5.99778969057,13.62,1,2.94893014431,0,0,0,98.6666666667,True,sensor,0.2,
case1,DE_seed_260927,0.1,1,10.8144080261,0.673487657831,105.709348713,0.315138941415,0.0632632490799,1.55832504935,2,0.6,0.8,0.1,0.7,0.02,0.0849969795743,1,-1,-1,98.6666666667,2508.18979244,2327.671141,23.5273382795,283.180298962,4576.20797276,2.72848410532e-12,1.7260498586e-18,0.545542228858,0.389420442316,6.9908515473,-1.35272650803,4.79865566242,-14.1576559186,0.270735879179,0.0126888270785,0.433068890644,0,9.97676607994e-10,0.814930953684,-1,,,,,,3.08834988832e-18,,,,-1,0,0,0,0,0,98.6666666667,False,sensor,0.2,
