cooling_min,T1_C,T2_C,T3_C,T4_C,T5_C,TEL_C,TER_C,mean_capacity_C,mean_length_C,mean_seven_nodes_C,field_min_C,field_max_C,field_range_K,cell_range_K,center_minus_left_EP_K,surface_left_C,surface_right_C,relative_field_range,Bi_stack,h_W_m2K,conductance_factor,G_eff_W_m2K,note
20.0,4.0461839410517095,4.95415751251996,5.2030665018876325,4.954199154831631,4.046190611656664,3.600349359482222,3.6002041596218985,3.779238707679786,3.9895482142343353,4.343478748721674,3.436902302537881,5.205106552611497,1.768204250073616,1.156882560835923,1.6027171424054107,3.4370464967941103,3.436902302537881,0.05234588811711765,0.578187134502924,20.0,0.1,88.849631092175,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
40.0,-22.097362341115076,-22.056219736608096,-22.044988385764192,-22.05621965732811,-22.097365878579215,-22.16067235203162,-22.160683361603656,-22.14438904975157,-22.1255675455062,-22.096215959004276,-22.236482856836574,-22.044896335478427,0.1915865213581469,0.052377492815022464,0.11568396626742938,-22.236471953717746,-22.236482856836574,0.02438849410587067,0.1396374269005848,40.0,1.0,888.4963109217499,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
20.0,-9.11025189104414,-9.055999712868793,-9.041197298757815,-9.055999660164447,-9.110256670444727,-9.257055908100892,-9.257070562841928,-9.22356759270784,-9.185098447481208,-9.12683310060325,-9.457603314840728,-9.041075982117832,0.41652733272289666,0.06905937168691167,0.21585860934307632,-9.457588801775366,-9.457603314840728,0.02004806814555433,0.08315204678362574,40.0,2.0,1776.9926218434998,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
40.0,-22.108600516726643,-22.08810598473969,-22.082514162260228,-22.088105964829932,-22.108602322213333,-22.1640578223055,-22.164063358342553,-22.15140713482913,-22.136874868035864,-22.11486430448827,-22.239817457781612,-22.082468333173868,0.15734912460774453,0.02608815995310465,0.08154366004527347,-22.239811975264566,-22.239817457781612,0.02004806814556547,0.08315204678362574,40.0,2.0,1776.9926218434998,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
20.0,-21.423193244512017,-20.458061286929166,-20.189470049280732,-20.458006403254043,-21.42316451346326,-21.885538558544024,-21.885665182756377,-21.69744082296015,-21.476253880434353,-21.10329989124852,-22.042457179669004,-20.187267829329016,1.8551893503399874,1.2337231952312848,1.6960685092632914,-22.042333225693397,-22.042457179669004,0.22344789248481176,2.312748538011696,80.0,0.1,88.849631092175,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
40.0,-28.700828166009206,-28.554636012489247,-28.513952308446193,-28.55463004450655,-28.700828619270304,-28.770861570868448,-28.770886212337587,-28.74237219887953,-28.708867908935723,-28.65237470484679,-28.794636196815027,-28.513618724866966,0.28101747194806137,0.18687631082411116,0.25690926242225487,-28.79461204128271,-28.794636196815027,0.2234504292110048,2.312748538011696,80.0,0.1,88.849631092175,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
20.0,-21.72796045782495,-21.37597941038554,-21.279204950986756,-21.375971889364152,-21.72797597130378,-21.95876341051972,-21.958839694215854,-21.87841433466603,-21.784378898012896,-21.629242254942962,-22.113511047809666,-21.27841168239624,0.8350993654134271,0.4487710203170252,0.6795584595329629,-22.113436285747483,-22.113511047809666,0.10282466993827943,0.9570994152046784,80.0,0.25,222.12407773043748,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
40.0,-28.777714116875973,-28.725705192805105,-28.711405855516897,-28.725704405289548,-28.777717088252604,-28.811817758671626,-28.81182981568842,-28.799945684614883,-28.786050906405233,-28.763127747585738,-28.834684219002185,-28.711288640994542,0.12339557800764211,0.06631123273570694,0.10041190315472903,-28.834672394458604,-28.834684219002185,0.10282499419040252,0.9570994152046784,80.0,0.25,222.12407773043748,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
20.0,-21.823046451036895,-21.65226613521508,-21.605502749335262,-21.652264737385543,-21.823058794185144,-21.98490056194263,-21.98494321464417,-21.936460066371126,-21.88008956672611,-21.78942609196353,-22.138897870449206,-21.605119457469613,0.5337784129795935,0.2175560448498821,0.37939781260736893,-22.13885604224112,-22.138897870449206,0.06619653618300797,0.5052163742690059,80.0,0.5,444.24815546087495,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
40.0,-28.800865661957477,-28.77582107051926,-28.768963319473805,-28.77582088245254,-28.800867507828514,-28.824601249037805,-28.82460754616305,-28.817497565754383,-28.809230941716148,-28.79593531963321,-28.84718469671302,-28.768907110452528,0.07827758626049075,0.03190418835470865,0.05563792956399993,-28.847178520549146,-28.84718469671302,0.0661965540142235,0.5052163742690059,80.0,0.5,444.24815546087495,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
20.0,-21.86938841602356,-21.785258858028772,-21.762269409686688,-21.78525853827369,-21.869395301791393,-21.998174961752234,-21.998196927767847,-21.965004869242907,-21.92666217613597,-21.866848916189173,-22.15179336873501,-21.762080987510174,0.389712381224836,0.10712589210470469,0.23590555206554598,-22.151771824420592,-22.15179336873501,0.04850188144272286,0.2792748538011696,80.0,1.0,888.4963109217499,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
