case,seed,noise_T_K,noise_V_V,initial_shift_K,G_factor,G_EP_factor,h_factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C
case2,3004,0.2,0.005,0,1,1,1,76.3783429801,82.6,82.6,243.240639573,1675.73079422,-2.26545758136,417.741243775,1498.96473244,3.45607986674e-11,1.24878406227e-17,0.603087445328,0.0964700967202,9.01976817881,0.681802144824,9.70157032363,-4.83186978782,0.337522481327,0.0116635957534,0.640647716014,0,9.7229779783e-10,0.134778471635,13.913502894,0.681802144824,0.614179165275,0.09571834856,0,243.240639573,1.62118040346e-17,0.603087445328,0.0964700967202,8.92434286997,15.78,1,6.22165701985,0.634762297195,0.000587160212905,0,98.6666666667,True,sensor,0.2
case2,3005,0.2,0.005,0,1,1,1,76.3533097148,81.8,81.8,243.925096658,1650.18932883,-2.12548385608,412.90263317,1479.08630846,4.8203219194e-11,8.61615466474e-18,0.603092168361,0.0964524889569,9.01519912825,0.599601434074,9.61480056232,-4.90715170527,0.338606812704,0.0116349756056,0.640565761858,0,9.91404291995e-10,0.135389363278,13.9059929144,0.599601434074,0.61383120978,0.0958743718506,0,243.925096658,1.61977094064e-17,0.603092168361,0.0964524889569,8.9246955668,15.54,1,5.44669028521,0.731271478955,0.000466153408664,0,98.6666666667,True,sensor,0.2
case2,3006,0.2,0.005,0,1,1,1,76.3936110258,82.4,82.4,243.430861937,1669.38443539,-2.22516912802,416.541370986,1494.04875722,5.90034687775e-11,1.05622975644e-17,0.603043892248,0.0966774872943,9.02079706766,0.65911070297,9.67990777063,-4.85436607224,0.337779550039,0.0116565115661,0.640792764723,0,9.32951493837e-10,0.139052708048,13.9180833077,0.65911070297,0.614063964179,0.0959745406675,0,243.430861937,1.55612827311e-17,0.603043892248,0.0966774872943,8.92713651124,15.72,1,6.00638897419,0.679802597597,0.000532278750071,0,98.6666666667,True,sensor,0.2
case2,3007,0.2,0.005,0,1,1,1,76.3770435154,81.6,81.6,243.12202725,1643.87145114,-2.07629013383,411.630804857,1473.2863834,2.9388047551e-11,7.55743124331e-18,0.60307441976,0.0965535812434,9.01150322545,0.575525282303,9.58702850775,-4.93452691288,0.338863460173,0.0116279947473,0.640855724225,0,9.64117674584e-10,0.140937551618,13.9131130546,0.575525282303,0.613720567624,0.0960211078225,0,243.12202725,1.66633742395e-17,0.60307441976,0.0965535812434,8.92276235654,15.48,1,5.22295648456,0.704769129963,0.000656975984278,0,98.6666666667,True,sensor,0.2
case2,3008,0.2,0.005,0,1,1,1,76.3902837694,81.8,81.8,242.433007826,1650.27167851,-2.11101261689,412.744475385,1477.84919833,3.81987774745e-11,8.55760774743e-18,0.603084160861,0.0965723488436,9.01483295856,0.594926635865,9.60975959443,-4.91756547497,0.338558463872,0.0116352546565,0.640589020342,0,9.94461402115e-10,0.133980322172,13.9170851308,0.594926635865,0.613794215068,0.0960020176517,0,242.433007826,1.60418553441e-17,0.603084160861,0.0965723488436,8.92501623623,15.54,1,5.40971623063,0.765062744897,0.000386742247452,0,98.6666666667,True,sensor,0.2
case2,3009,0.2,0.005,0,1,1,1,76.473570627,82,82,240.269683674,1656.72350974,-2.12417260899,413.813459895,1481.05556091,3.95630195271e-11,9.42876419302e-18,0.603007615416,0.0969867363772,9.01385790291,0.607258848396,9.62111675131,-4.9039985913,0.338269292804,0.011642661799,0.640562955128,0,9.38559452379e-10,0.137842013361,13.9420711881,0.607258848396,0.613816858927,0.0963893561901,0,240.269683674,1.65470935565e-17,0.603007615416,0.0969867363772,8.92443035854,15.6,1,5.52642937303,0.785629112774,0.000469469118768,0,98.6666666667,True,sensor,0.2
case2,3000,0.2,0.005,1,1,1,1,70.1071832657,75.8,75.8,212.895599067,1453.61555304,-2.42321811206,388.418278235,1275.66965576,4.54178916698e-11,1.47261760078e-17,0.60661302459,0.0770651562818,8.89672560647,0.696564604303,9.59329021077,-4.71968750871,0.348718234131,0.0114015004582,0.652229375106,0,9.29185617338e-10,0.130515194806,12.0321549797,0.696564604303,0.615372990493,0.0765013602366,0,212.895599067,1.68306124246e-17,0.60661302459,0.0770651562818,8.62956588534,13.74,1,5.69281673432,0.667473416959,0.000575505193097,0,98.6666666667,True,sensor,0.2
case2,3001,0.2,0.005,1,1,1,1,70.1672693789,76,76,210.888386485,1460.11089646,-2.43377892639,389.489130271,1279.07637375,3.50723894371e-11,1.4369473493e-17,0.606562414005,0.0773498361447,8.90185616676,0.712072634404,9.61392880117,-4.70022196188,0.348415418423,0.0114085417555,0.652263904491,0,9.85526327213e-10,0.122284530779,12.0501808137,0.712072634404,0.615415053611,0.0767570330921,0,210.888386485,1.7213606842e-17,0.606562414005,0.0773498361447,8.63132344509,13.8,1,5.8327306211,0.840934101121,0.000359302985261,0,98.6666666667,True,sensor,0.2
case2,3002,0.2,0.005,1,1,1,1,70.2595750034,74.4,74.4,208.816649644,1409.14226711,-2.14435101583,379.523410723,1236.29115502,4.38831193605e-11,1.5130041317e-17,0.606477482938,0.0777906504023,8.84676255368,0.511617050621,9.3583796043,-4.85957888681,0.350425850849,0.0113556575907,0.652061318768,0,9.96410953746e-10,0.133572866431,12.077872501,0.511617050621,0.614510393041,0.0774878763399,0,208.816649644,1.64988465598e-17,0.606477482938,0.0777906504023,8.63834740796,13.32,1,4.14042499662,0.641666924536,0.000596434712546,0,98.6666666667,True,sensor,0.2
case2,3003,0.2,0.005,1,1,1,1,70.1968761682,76,76,209.984058573,1460.12961714,-2.42717146463,389.417781905,1278.26872235,4.62136995338e-11,1.35612007734e-17,0.606544183778,0.0774117146743,8.90130409889,0.708070174679,9.60937427357,-4.70223742524,0.348388028433,0.0114087335274,0.652166163213,0,9.33120247737e-10,0.124346091352,12.0590628505,0.708070174679,0.615390555966,0.0768248376949,0,209.984058573,1.70620895884e-17,0.606544183778,0.0774117146743,8.63215318433,13.8,1,5.80312383175,0.665517250296,0.000376436646346,0,98.6666666667,True,sensor,0.2
