time_s,feasible,energy_J,q1_W_cm2,q2_W_cm2,q3_W_cm2,q4_W_cm2,q5_W_cm2,T1_C,T2_C,T3_C,T4_C,T5_C,TEL_C,TER_C,max_mirror_q_difference
233.0,1,6836.611948028526,0.5440477395765806,0.028491145839929906,0.02858951638219231,0.028491145839926606,0.5440477395765682,1.0000000010279564e-06,1.0000000010279564e-06,1.0000000010279564e-06,9.999999974752427e-07,1.0000000010279564e-06,-6.721432197495293,-6.72143219749513,1.2434497875801753e-14
234.0,1,6845.079933860518,0.542427344374433,0.028382158908767417,0.02848012742684599,0.028382158908768943,0.5424273443744356,1.0000000010279564e-06,1.0000000010279564e-06,1.00000000458067e-06,1.0000000010279564e-06,9.99999993922529e-07,-6.695749110949762,-6.695749110949951,2.6645352591003757e-15
235.0,1,6853.51291407645,0.5408180263534677,0.02827392217037604,0.028371492582346603,0.028273922170375453,0.5408180263534682,1.0000000010279564e-06,1.0000000010279564e-06,1.0000000010279564e-06,9.999999974752427e-07,1.0000000010279564e-06,-6.670241541242579,-6.670241541242497,5.863365348801608e-16
236.0,1,6861.911251676208,0.5392196729585008,0.02816642777322661,0.02826360390540046,0.028166427773216526,0.5392196729585044,1.00000000458067e-06,1.0000000010279564e-06,1.0000000010279564e-06,9.999999974752427e-07,9.999999974752427e-07,-6.644907707404663,-6.644907707404634,1.0082212842377203e-14
237.0,1,6870.275304802393,0.5376321731482351,0.028059667981570717,0.028156453572016606,0.028059667981570228,0.5376321731482351,9.999999974752427e-07,9.999999974752427e-07,1.0000000010279564e-06,1.0000000010279564e-06,1.0000000081333837e-06,-6.619745852312075,-6.619745852312015,4.891920202254596e-16
238.0,1,6878.605426819429,0.5360554173700307,0.027953635173121008,0.028050033874948154,0.0279536351731182,0.5360554173700306,1.0000000081333837e-06,1.0000000010279564e-06,1.00000000458067e-06,1.0000000010279564e-06,9.999999974752427e-07,-6.594754242293664,-6.5947542422936145,2.806782584130474e-15
239.0,1,6886.901966391778,0.5344892975352916,0.027848321836609267,0.027944337221353466,0.027848321836608375,0.5344892975352886,1.0000000010279564e-06,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,-6.569931166747633,-6.569931166747651,2.9976021664879227e-15
240.0,1,6895.1652675606465,0.5329337069952881,0.027743720569644564,0.02783935613024794,0.027743720569642562,0.5329337069952846,9.999999974752427e-07,1.0000000010279564e-06,1.0000000010279564e-06,1.00000000458067e-06,9.999999974752427e-07,-6.545274937764912,-6.545274937764951,3.4416913763379853e-15
241.0,1,6903.395669819189,0.5313885405174282,0.027639824076490856,0.027735083230278967,0.027639824076489024,0.5313885405174354,9.99999993922529e-07,1.0000000010279564e-06,1.0000000010279564e-06,1.0000000010279564e-06,1.0000000010279564e-06,-6.520783889759606,-6.520783889759567,7.216449660063518e-15
242.0,1,6911.593508185829,0.5298536942620165,0.027536625165943865,0.027631511257440577,0.02753662516594645,0.5298536942620128,1.0000000010279564e-06,9.99999993922529e-07,9.99999993922529e-07,1.0000000010279564e-06,1.0000000010279564e-06,-6.496456379106569,-6.496456379106657,3.6637359812630166e-15
243.0,1,6919.759113277447,0.5283290657594669,0.0274341167492836,0.027528633052862114,0.027434116749283585,0.5283290657594655,1.00000000458067e-06,1.0000000010279564e-06,1.0000000010279564e-06,1.0000000010279564e-06,9.999999974752427e-07,-6.4722907837863985,-6.472290783786349,1.4432899320127035e-15
244.0,1,6927.892811379555,0.5268145538879478,0.027332291838205618,0.027426441560736828,0.02733229183820871,0.5268145538879427,1.00000000458067e-06,1.0000000010279564e-06,1.0000000010279564e-06,1.0000000010279564e-06,1.0000000010279564e-06,-6.448285503035102,-6.448285503035095,5.10702591327572e-15
245.0,1,6935.994924516559,0.5253100588514319,0.027231143542963677,0.027324929826158743,0.027231143542961102,0.5253100588514331,1.00000000458067e-06,1.0000000010279564e-06,1.0000000010279564e-06,1.0000000010279564e-06,1.00000000458067e-06,-6.424438957003478,-6.424438957003382,2.5743296383495817e-15
246.0,1,6944.065770519644,0.5238154821582193,0.02713066507036407,0.027224090993187584,0.027130665070363942,0.5238154821582136,1.0000000010279564e-06,1.0000000010279564e-06,1.0000000010279564e-06,9.999999974752427e-07,1.00000000458067e-06,-6.400749586419668,-6.400749586419675,5.662137425588298e-15
247.0,1,6952.105663094328,0.5223307265998197,0.02703084972198292,0.027123918302844347,0.027030849721990317,0.5223307265998125,1.0000000010279564e-06,1.0000000010279564e-06,9.999999974752427e-07,1.0000000010279564e-06,1.0000000010279564e-06,-6.377215852260811,-6.377215852260786,7.396860901565105e-15
248.0,1,6960.114911885873,0.5208556962302667,0.026931690892328164,0.027024405091242886,0.02693169089233016,0.5208556962302633,1.0000000010279564e-06,1.0000000010279564e-06,1.0000000010279564e-06,1.0000000010279564e-06,9.999999974752427e-07,-6.353836235428133,-6.353836235428016,3.4416913763379853e-15
249.0,1,6968.093822544354,0.5193902963458499,0.026833182067069212,0.026925544787713033,0.0268331820670676,0.5193902963458512,1.0000000010279564e-06,1.0000000010279564e-06,1.00000000458067e-06,1.00000000458067e-06,1.0000000081333837e-06,-6.330609236430675,-6.330609236430636,1.6132928326584306e-15
250.0,1,6976.04269678769,0.5179344334651663,0.026735316821359625,0.026827330912982495,0.026735316821363306,0.5179344334651586,1.00000000458067e-06,9.999999974752427e-07,1.0000000010279564e-06,1.0000000010279564e-06,1.0000000010279564e-06,-6.307533375073202,-6.307533375073213,7.771561172376096e-15
251.0,1,6983.96183246412,0.516488015309593,0.026638088818138037,0.026729757077471827,0.026638088818131914,0.5164880153095928,1.0000000010279564e-06,1.00000000458067e-06,1.0000000010279564e-06,1.00000000458067e-06,9.999999974752427e-07,-6.284607190150691,-6.284607190150673,6.123573870198129e-15
252.0,1,6991.851523613221,0.515050950784131,0.026541491806528084,0.026632816979514272,0.02654149180652596,0.5150509507841294,1.00000000458067e-06,1.00000000458067e-06,1.00000000458067e-06,1.0000000010279564e-06,1.0000000010279564e-06,-6.261829239147328,-6.2618292391473,2.123301534595612e-15
253.0,1,6999.712060525844,0.5136231499586148,0.02644551962021464,0.02653650440374354,0.02644551962020728,0.513623149958618,1.0000000081333837e-06,1.0000000010279564e-06,1.0000000010279564e-06,1.0000000010279564e-06,1.0000000010279564e-06,-6.239198097943309,-6.23919809794323,7.36216643204557e-15
254.0,1,7007.543729803257,0.5122045240492424,0.026350166175905826,0.026440813219505508,0.02635016617590551,0.512204524049245,9.999999974752427e-07,1.0000000010279564e-06,1.0000000010279564e-06,1.0000000010279564e-06,1.0000000010279564e-06,-6.216712360524571,-6.216712360524468,2.55351295663786e-15
255.0,1,7015.3468144143435,0.5107949854004532,0.026255425471878452,0.026345737379158442,0.02625542547187687,0.5107949854004518,1.0000000010279564e-06,1.0000000010279564e-06,1.0000000010279564e-06,1.0000000010279564e-06,1.0000000010279564e-06,-6.1943706386992154,-6.194370638699205,1.582067810090848e-15
256.0,1,7023.121593752825,0.5093944474672032,0.026161291586412044,0.0262512709166536,0.026161291586408727,0.5093944474672014,1.0000000010279564e-06,1.0000000010279564e-06,1.0000000010279564e-06,1.0000000010279564e-06,1.00000000458067e-06,-6.172171561819187,-6.172171561819198,3.316791286067655e-15
257.0,1,7030.868343693038,0.5080028247974873,0.02606775867645386,0.026157407945978872,0.026067758676445806,0.5080028247974923,1.0000000010279564e-06,1.0000000010279564e-06,1.00000000458067e-06,1.00000000458067e-06,1.0000000010279564e-06,-6.150113776506657,-6.150113776506679,8.056055822436292e-15
258.0,1,7038.5873366442565,0.5066200330152809,0.0259748209761203,0.02606414265971881,0.025974820976118917,0.5066200330152817,1.0000000010279564e-06,1.0000000010279564e-06,1.00000000458067e-06,9.999999974752427e-07,1.0000000010279564e-06,-6.128195946385365,-6.128195946385304,1.3808398868775384e-15
259.0,1,7046.278841604361,0.5052459888036873,0.02588247279540757,0.025971469327587787,0.025882472795404208,0.5052459888036833,1.0000000010279564e-06,1.0000000010279564e-06,1.0000000010279564e-06,1.0000000010279564e-06,1.00000000458067e-06,-6.106416751816628,-6.106416751816607,3.9968028886505635e-15
260.0,1,7053.943124212878,0.5038806098884729,0.02579070851881709,0.025879382295104017,0.025790708518809484,0.50388060988847,1.00000000458067e-06,1.00000000458067e-06,1.00000000458067e-06,9.999999974752427e-07,1.0000000010279564e-06,-6.084774889641267,-6.084774889641267,7.605027718682322e-15
261.0,1,7061.580446802446,0.5025238150219079,0.025699522604051422,0.025787875982175603,0.02569952260404329,0.5025238150219133,1.0000000010279564e-06,1.0000000010279564e-06,1.0000000010279564e-06,9.999999974752427e-07,1.00000000458067e-06,-6.063269072925021,-6.063269072924978,8.132383655379272e-15
